ScientificName,SpecCode,CommonName,Environments,Subspecies
Acheilognathus asmussii,11926,Aasiankatkerokala,['fresh'],[]
Acheilognathus barbatulus,54928,China-Bitterling,['fresh'],[]
Acheilognathus barbatus,55891,Hořavka vousatá,['fresh'],[]
Acheilognathus binidentatus,61861,Kakskiir-paljaslõug,['fresh'],[]
Acheilognathus brevicaudatus,60403,Lühisaba-paljaslõug,['fresh'],[]
Acheilognathus changtingensis,65965,Changtingi paljaslõug,['fresh'],[]
Acheilognathus coreanus,66150,Oily bitterling,['fresh'],[]
Acheilognathus cyanostigma,11928,Hořavka modroskvrnná,['fresh'],[]
Acheilognathus deignani,48458,Deignani paljaslõug,['fresh'],[]
Acheilognathus elongatoides,61167,Hořavka štíhlá,['fresh'],[]
Acheilognathus elongatus,9525,Hořavka štíhlá,['fresh'],[]
Acheilognathus fasciodorsalis,62798,Triipuim-paljaslõug,['fresh'],[]
Acheilognathus gracilis,54711,Hořavka drobná,['fresh'],[]
Acheilognathus hondae,25606,Hořavka sohonská,['fresh'],[]
Acheilognathus hypselonotus,55893,Hořavka čínská,['fresh'],[]
Acheilognathus imberbis,55887,Harilik paljaslõug,['fresh'],[]
Acheilognathus imfasciodorsalis,62799,Klaaruim-paljaslõug,['fresh'],[]
Acheilognathus intermedia,66125,Slender bitterling,['fresh'],[]
Acheilognathus kyphus,61168,Hořavka thajská,['fresh'],[]
Acheilognathus lanchiensis,70257,,['fresh'],[]
Acheilognathus longibarbatus,55149,Hořavka dlouhovousá,['fresh'],[]
Acheilognathus longipinnis,9528,Deepbody bitterling,['fresh'],[]
Acheilognathus macromandibularis,58200,Hořavka čelistnatá,['fresh'],[]
Acheilognathus macropterus,54380,Hořavka velkoploutvá,"['fresh', 'brackish']",[]
Acheilognathus majusculus,59969,Hořavka imsilská,['fresh'],[]
Acheilognathus melanogaster,25817,Hořavka černobřichá,"['fresh', 'brackish']",[]
Acheilognathus meridianus,56321,Hořavka jihočínská,['fresh'],[]
Acheilognathus microphysa,56320,Hořavka junanská,['fresh'],[]
Acheilognathus nguyenvanhaoi,67550,,['fresh'],[]
Acheilognathus omeiensis,55890,Hořavka sečuánská,['fresh'],[]
Acheilognathus peihoensis,61918,Tianjini paljaslõug,['fresh'],[]
Acheilognathus polylepis,55892,Hořavka mnohošupinná,['fresh'],[]
Acheilognathus polyspinus,55148,Hanoi paljaslõug,['fresh'],[]
Acheilognathus rhombeus,22891,Hořavka kosoštverečná,['fresh'],[]
Acheilognathus striatus,65458,Triip-paljaslõug,['fresh'],[]
Acheilognathus tabira,22892,Akahire-tabira,"['fresh', 'brackish']",[]
Acheilognathus taenianalis,61857,Kaguhiina paljaslõug,['fresh'],[]
Acheilognathus tonkinensis,54709,Hořavka tonkinská,['fresh'],[]
Acheilognathus typus,22897,Hořavka japonská,['fresh'],[]
Acheilognathus yamatsutae,25607,Hořavka fenhuangská,['fresh'],[]
