ScientificName,SpecCode,CommonName,Environments,Subspecies
Trinectes fimbriatus,13437,Fringed sole,['salt'],[]
Trinectes fluviatilis,13440,Freshwater sole,"['fresh', 'brackish', 'salt']",[]
Trinectes fonsecensis,13441,Guardaboya,"['brackish', 'salt']",[]
Trinectes hubbsbollinger,67073,,['fresh'],[]
Trinectes inscriptus,4259,Acedía reticulada,"['brackish', 'salt']",[]
Trinectes maculatus,4260,Achira,"['fresh', 'brackish', 'salt']",[]
Trinectes microphthalmus,57934,Linguado,"['brackish', 'salt']",[]
Trinectes opercularis,13442,Sole à joue tachetée,['salt'],[]
Trinectes paulistanus,7580,Lenguado redondo,"['fresh', 'brackish', 'salt']",[]
Trinectes xanthurus,60305,,['salt'],[]
