ScientificName,SpecCode,CommonName,Environments,Subspecies
Oryzias asinua,67150,Asinua ricefish,['fresh'],[]
Oryzias bonneorum,64835,,['fresh'],[]
Oryzias carnaticus,50267,Mundakanni,"['fresh', 'brackish']",[]
Oryzias celebensis,12252,Celebes medaka,['fresh'],[]
Oryzias curvinotus,49577,弓背青鮰,"['fresh', 'brackish']",[]
Oryzias dancena,50265,Indian blue ricefish,"['fresh', 'brackish']",[]
Oryzias eversi,66685,Evers' ricefish,['fresh'],[]
Oryzias hadiatyae,65776,,['fresh'],[]
Oryzias haugiangensis,50271,湄公河青鮰,"['fresh', 'brackish']",[]
Oryzias hubbsi,50272,赫氏青鮰,['fresh'],[]
Oryzias javanicus,12254,Jaavanmedaka,"['fresh', 'brackish']",[]
Oryzias kalimpaaensis,69786,Lake Kalimpa'a ricefish,['fresh'],[]
Oryzias latipes,4669,Jaapani riisikala,"['fresh', 'brackish']",[]
Oryzias luzonensis,5162,Coscosleng,['fresh'],[]
Oryzias marmoratus,6265,Mamor-Reiskärpfling,['fresh'],[]
Oryzias matanensis,6266,Kultamedaka,['fresh'],[]
Oryzias mekongensis,26794,曼谷青鮰,['fresh'],[]
Oryzias melastigma,64642,,"['fresh', 'brackish']",[]
Oryzias minutillus,26983,Dværg-risfisk,['fresh'],[]
Oryzias nebulosus,62167,Nebulosus ricefish,['fresh'],[]
Oryzias nigrimas,6267,Black medaka,['fresh'],[]
Oryzias orthognathus,6268,Buntingi,['fresh'],[]
Oryzias pectoralis,50270,鰭斑青鮰,['fresh'],[]
Oryzias profundicola,6269,Gelbflossen-Reiskärpfling,['fresh'],[]
Oryzias sakaizumii,66418,Kitano-medaka,['fresh'],[]
Oryzias sarasinorum,6264,Sarasins minnow,['fresh'],[]
Oryzias setnai,4592,Anu,"['fresh', 'brackish']",[]
Oryzias sinensis,52632,대륙송사리,['fresh'],[]
Oryzias soerotoi,67765,,['fresh'],[]
Oryzias songkhramensis,65577,,['fresh'],[]
Oryzias timorensis,49578,,['fresh'],[]
Oryzias uwai,50269,乌氏青鮰,['fresh'],[]
Oryzias wolasi,67151,Wolasi ricefish,['fresh'],[]
Oryzias woworae,65542,,['fresh'],[]
