ScientificName,SpecCode,CommonName,Environments,Subspecies
Clupisoma bastari,24750,Bastar garua,['fresh'],[]
Clupisoma garua,10148,Baikha,"['fresh', 'brackish']",[]
Clupisoma longianale,60399,長臀刀鯰,['fresh'],[]
Clupisoma montanum,24754,Jalkapoor,['fresh'],[]
Clupisoma naziri,24757,Indus garua,['fresh'],[]
Clupisoma nujiangense,62514,,['fresh'],[]
Clupisoma prateri,24756,Burmansillimonni,['fresh'],[]
Clupisoma roosae,61635,,['fresh'],[]
Clupisoma sinense,26739,Kiinansillimonni,['fresh'],[]
Clupisoma yunnanense,66219,,['fresh'],[]
