ScientificName,SpecCode,CommonName,Environments,Subspecies
Acrochordonichthys chamaeleon,23294,Kebingkung,['fresh'],[]
Acrochordonichthys falcifer,58361,,['fresh'],[]
Acrochordonichthys guttatus,58357,,['fresh'],[]
Acrochordonichthys gyrinus,61549,Falcate chameleon catfish,['fresh'],[]
Acrochordonichthys ischnosoma,23295,細體龐鯰,['fresh'],[]
Acrochordonichthys mahakamensis,58358,,['fresh'],[]
Acrochordonichthys pachyderma,58362,Borneonbalalaikkamonni,['fresh'],[]
Acrochordonichthys rugosus,23304,Asiatisk guitarmalle,['fresh'],[]
Acrochordonichthys septentrionalis,58359,Maeklong chameleon catfish,['fresh'],[]
Acrochordonichthys strigosus,58360,,['fresh'],[]
