ScientificName,SpecCode,CommonName,Environments,Subspecies
Akysis bilustris,66310,,['fresh'],[]
Akysis brachybarbatus,54773,Kiinanjokimonni,['fresh'],[]
Akysis clavulus,62037,,['fresh'],[]
Akysis clinatus,62564,,['fresh'],[]
Akysis ephippifer,52539,鞍斑粒鯰,['fresh'],[]
Akysis fontaneus,64889,,['fresh'],[]
Akysis fuliginatus,62565,,['fresh'],[]
Akysis galeatus,64033,,['fresh'],[]
Akysis hendricksoni,26974,亨氏粒鯰,['fresh'],[]
Akysis heterurus,27400,异尾粒鲶,['fresh'],[]
Akysis longifilis,62593,,['fresh'],[]
Akysis maculipinnis,26747,斑鰭粒鯰,['fresh'],[]
Akysis manipurensis,60651,,['fresh'],[]
Akysis microps,58042,,['fresh'],[]
Akysis pictus,24796,Burmese stream catfish,['fresh'],[]
Akysis portellus,64863,,['fresh'],[]
Akysis prashadi,24798,Indawgyi stream catfish,['fresh'],[]
Akysis pulvinatus,63540,,['fresh'],[]
Akysis recavus,52542,凹头粒鲶,['fresh'],[]
Akysis scorteus,64032,,['fresh'],[]
Akysis variegatus,23309,Bangon,['fresh'],[]
Akysis varius,52544,变棘粒鲶,['fresh'],[]
Akysis vespa,62235,,['fresh'],[]
Akysis vespertinus,64791,,['fresh'],[]
