ScientificName,SpecCode,CommonName,Environments,Subspecies
Pseudobagarius alfredi,52534,阿氏粒鯰,['fresh'],[]
Pseudobagarius baramensis,23306,巴拉望粒鯰,['fresh'],[]
Pseudobagarius filifer,62566,,['fresh'],[]
Pseudobagarius fuscus,27398,灰粒鯰,['fresh'],[]
Pseudobagarius hardmani,62448,,['fresh'],[]
Pseudobagarius inermis,57782,,['fresh'],[]
Pseudobagarius leucorhynchus,26975,白吻粒鯰,['fresh'],[]
Pseudobagarius macronemus,23307,長鬚粒鯰,['fresh'],[]
Pseudobagarius meridionalis,62046,,['fresh'],[]
Pseudobagarius nitidus,62567,,['fresh'],[]
Pseudobagarius pseudobagarius,23308,似魾粒鯰,['fresh'],[]
Pseudobagarius similis,52535,似鱨粒鯰,['fresh'],[]
Pseudobagarius sinensis,54772,Pantajokimonni,['fresh'],[]
Pseudobagarius subtilis,52537,細身粒鯰,['fresh'],[]
