ScientificName,SpecCode,CommonName,Environments,Subspecies
Alepocephalus agassizii,9171,Agassiz glathovedfisk,['salt'],[]
Alepocephalus andersoni,58899,安氏平头鱼,['salt'],[]
Alepocephalus antipodianus,58901,Antipodean slickhead,['salt'],[]
Alepocephalus asperifrons,58903,,['salt'],[]
Alepocephalus australis,9172,Arame-konnyaku-iwashi,['salt'],[]
Alepocephalus bairdii,230,Alepocefal,['salt'],[]
Alepocephalus bicolor,7592,Bicolor slickhead,['salt'],[]
Alepocephalus blanfordii,58904,布氏平头鱼,['salt'],[]
Alepocephalus dentifer,60307,,['salt'],[]
Alepocephalus fundulus,58908,巴拿馬平頭魚,['salt'],[]
Alepocephalus longiceps,22691,Longfin slickhead,['salt'],[]
Alepocephalus longirostris,22693,Longsnout slickhead,['salt'],[]
Alepocephalus melas,55082,,['salt'],[]
Alepocephalus owstoni,22688,Hage-iwashi,['salt'],[]
Alepocephalus planifrons,58911,太平洋平头鱼,['salt'],[]
Alepocephalus productus,10000,Patagonia-sekitoriiwashi,['salt'],[]
Alepocephalus rostratus,5071,Alépocephale,['salt'],[]
Alepocephalus tenebrosus,11590,California slickhead,['salt'],[]
Alepocephalus triangularis,22694,Okinawa-konnyaku-iwashi,['salt'],[]
Alepocephalus umbriceps,22687,Konnyaku-iwashi,['salt'],[]
