ScientificName,SpecCode,CommonName,Environments,Subspecies
Bathytroctes breviceps,56583,,['salt'],[]
Bathytroctes elegans,56590,,['salt'],[]
Bathytroctes inspector,56584,,['salt'],[]
Bathytroctes macrognathus,56586,,['salt'],[]
Bathytroctes macrolepis,56587,Koefoed's smooth-head,['salt'],[]
Bathytroctes michaelsarsi,10772,Michael Sars smooth-head,['salt'],[]
Bathytroctes microlepis,10764,Smallscale smooth-head,['salt'],[]
Bathytroctes oligolepis,16457,寡鱗淵眼魚,['salt'],[]
Bathytroctes pappenheimi,56588,,['salt'],[]
Bathytroctes squamosus,15810,Deepscale slickhead,['salt'],[]
Bathytroctes zugmayeri,56591,Zugmayer's slickhead,['salt'],[]
