ScientificName,SpecCode,CommonName,Environments,Subspecies
Brycinus abeli,11078,Abeli kardsalmler,['fresh'],[]
Brycinus affinis,11079,Gingi,['fresh'],[]
Brycinus bartoni,11081,Bartoni kardsalmler,['fresh'],[]
Brycinus batesii,11082,Batesi kardsalmler,['fresh'],[]
Brycinus bimaculatus,11083,Kaksitäpläalesti,['fresh'],[]
Brycinus brevis,5239,African tetras,['fresh'],[]
Brycinus carmesinus,11085,Karmiin-kardsalmler,['fresh'],[]
Brycinus carolinae,5236,Niandani kardsalmler,['fresh'],[]
Brycinus comptus,11104,Kaunis kardsalmler,['fresh'],[]
Brycinus derhami,11086,Vandliranniku kardsalmler,['fresh'],[]
Brycinus epuluensis,68091,,['fresh'],[]
Brycinus ferox,62100,Large-toothed Lake Turkana robber,['fresh'],[]
Brycinus fwaensis,58191,Fwa kardsalmler,['fresh'],[]
Brycinus grandisquamis,11087,Chikama,['fresh'],[]
Brycinus humilis,11088,Angola kardsalmler,['fresh'],[]
Brycinus imberi,5238,Adjoua ôclair,['fresh'],[]
Brycinus intermedius,5233,Ajarapo,['fresh'],[]
Brycinus jacksonii,11089,Ikiraba,['fresh'],[]
Brycinus kingsleyae,11090,Kingsley kardsalmler,['fresh'],[]
Brycinus lateralis,11874,Mbala,['fresh'],[]
Brycinus leuciscus,5231,Ajarapo,['fresh'],[]
Brycinus luteus,5232,Kollane kardsalmler,['fresh'],[]
Brycinus macrolepidotus,5240,Adjamdjer,"['fresh', 'brackish']",[]
Brycinus minutus,62101,Dwarf Lake Turkana robber,['fresh'],[]
Brycinus nigricauda,5237,Mustsaba-kardsalmler,['fresh'],[]
Brycinus nurse,5235,Ajarapo,['fresh'],[]
Brycinus opisthotaenia,11093,Sabaküüt-kardsalmler,['fresh'],[]
Brycinus peringueyi,11094,Mweru kardsalmler,['fresh'],[]
Brycinus poptae,11095,Popta kardsalmler,['fresh'],[]
Brycinus rhodopleura,11096,Kologo,['fresh'],[]
Brycinus sadleri,4648,Ikiraba,['fresh'],[]
Brycinus schoutedeni,11097,Großschuppen-Brycinus,['fresh'],[]
Brycinus taeniurus,11101,Juttsaba-kardsalmler,['fresh'],[]
Brycinus tessmanni,11102,Tessmanni kardsalmler,['fresh'],[]
Brycinus tholloni,11103,Tholloni kardsalmler,['fresh'],[]
