ScientificName,SpecCode,CommonName,Environments,Subspecies
Micralestes acutidens,2402,Gelengela,['fresh'],[]
Micralestes ambiguus,58192,Bari kongosalmler,['fresh'],[]
Micralestes argyrotaenia,11142,Hõbetriip-kongosalmler,['fresh'],[]
Micralestes comoensis,2403,Komoé kongosalmler,['fresh'],[]
Micralestes congicus,11143,Harilik kongosalmler,['fresh'],[]
Micralestes eburneensis,5242,Vandliranniku kongosalmler,['fresh'],[]
Micralestes elongatus,5243,Elongated robber,['fresh'],[]
Micralestes fodori,11145,Fodori kongosalmler,['fresh'],[]
Micralestes holargyreus,11146,Hõbedane kongosalmler,['fresh'],[]
Micralestes humilis,5241,Afrikanischer Rotflossensalmler,['fresh'],[]
Micralestes lualabae,11147,Lualaba kongosalmler,['fresh'],[]
Micralestes occidentalis,2404,Afrikanischer Salmler,['fresh'],[]
Micralestes pabrensis,6007,Pabré kongosalmler,['fresh'],[]
Micralestes sardina,11148,Sardiin-kongosalmler,['fresh'],[]
Micralestes schelly,63522,Schelly kongosalmler,['fresh'],[]
Micralestes stormsi,11149,Echter Roter Kongosalmler,['fresh'],[]
Micralestes vittatus,11151,Vööt-kongosalmler,['fresh'],[]
