ScientificName,SpecCode,CommonName,Environments,Subspecies
Alosa aestivalis,1574,Alosa-azul,"['fresh', 'brackish', 'salt']",[]
Alosa agone,28201,Agone,['fresh'],[]
Alosa alabamae,1575,Alabama aloosa,"['fresh', 'brackish', 'salt']",[]
Alosa algeriensis,65105,Alžeeria aloosa,"['fresh', 'brackish', 'salt']",[]
Alosa alosa,101,Agone,"['fresh', 'brackish', 'salt']",[]
Alosa braschnikowi,1576,Brazhnikov's shad,['brackish'],[]
Alosa caspia,1577,Alose,"['fresh', 'brackish', 'salt']",[]
Alosa chrysochloris,1578,Alose dorée,"['fresh', 'brackish', 'salt']",[]
Alosa curensis,47559,Kizilagach herring,['brackish'],[]
Alosa fallax,5355,Abzeln,"['fresh', 'brackish', 'salt']",[]
Alosa immaculata,105,Alosa pontica,"['fresh', 'brackish', 'salt']",[]
Alosa kessleri,1580,Beshenka,"['fresh', 'brackish', 'salt']",[]
Alosa killarnensis,64754,Killarney aloosa,['fresh'],[]
Alosa macedonica,25775,Liparia,['fresh'],[]
Alosa maeotica,1581,Aasovi aloosa,"['fresh', 'brackish', 'salt']",[]
Alosa mediocris,1582,Alose américaine,"['fresh', 'brackish', 'salt']",[]
Alosa pseudoharengus,1583,Alaccia,"['fresh', 'brackish', 'salt']",[]
Alosa sapidissima,1584,Allaccia americana,"['fresh', 'brackish', 'salt']",[]
Alosa saposchnikowii,1585,Bigeye shad,"['fresh', 'brackish']",[]
Alosa sphaerocephala,1586,Agrakhan shad,['brackish'],[]
Alosa suworowi,66115,Suvorovi aloosa,['fresh'],[]
Alosa tanaica,48090,Azov shad,"['fresh', 'brackish', 'salt']",[]
Alosa vistonica,28212,Placka řecká,['fresh'],[]
Alosa volgensis,63396,Volga aloosa,"['fresh', 'brackish']",[]
