ScientificName,SpecCode,CommonName,Environments,Subspecies
Phractura ansorgii,9431,African whiptailed catfish,['fresh'],[]
Phractura bovei,9430,Panssari-imuevä,['fresh'],[]
Phractura brevicauda,9432,Mosaiikki-imuevä,['fresh'],[]
Phractura clauseni,9433,Clausens Kaulquappenwels,['fresh'],[]
Phractura fasciata,9434,Vanneimuevä,['fresh'],[]
Phractura gladysae,9435,格拉迪护尾鮠,['fresh'],[]
Phractura intermedia,9436,Raitaimuevä,['fresh'],[]
Phractura lindica,9437,林迪护尾鮠,['fresh'],[]
Phractura longicauda,9438,Langflossen-Quappenwels,['fresh'],[]
Phractura macrura,9439,Kameruninimuevä,['fresh'],[]
Phractura scaphyrhynchura,9440,Katonde,['fresh'],[]
Phractura stiassny,64054,,['fresh'],[]
Phractura tenuicauda,9441,薄护尾鮠,['fresh'],[]
