ScientificName,SpecCode,CommonName,Environments,Subspecies
Anguilla anguilla,35,Aal,"['fresh', 'brackish', 'salt']",[]
Anguilla australis,297,Aal,"['fresh', 'brackish', 'salt']",[]
Anguilla bengalensis,1272,Aarel,"['fresh', 'brackish', 'salt']",[]
Anguilla bicolor,1274,Amalona,"['fresh', 'brackish', 'salt']",[]
Anguilla borneensis,67461,Borneo angerjas,['fresh'],[]
Anguilla celebesensis,11521,Cá chình vây dài,"['fresh', 'brackish', 'salt']",[]
Anguilla dieffenbachii,11878,Aal,"['fresh', 'brackish', 'salt']",[]
Anguilla interioris,17282,Highlands long-finned eel,"['fresh', 'brackish', 'salt']",[]
Anguilla japonica,295,Anguila,"['fresh', 'brackish', 'salt']",[]
Anguilla labiata,1273,Aafrika angerjas,"['fresh', 'brackish', 'salt']",[]
Anguilla luzonensis,65262,Luzoni angerjas,"['fresh', 'brackish', 'salt']",[]
Anguilla malgumora,5426,Belud,"['fresh', 'brackish', 'salt']",[]
Anguilla marmorata,1275,Almang,"['fresh', 'brackish', 'salt']",[]
Anguilla megastoma,12408,Anguille de montagne,"['fresh', 'brackish', 'salt']",[]
Anguilla mossambica,1276,African longfin eel,"['fresh', 'brackish', 'salt']",[]
Anguilla nebulosa,11700,African mottled eel,"['fresh', 'brackish', 'salt']",[]
Anguilla obscura,7511,Anguille de vase,"['fresh', 'brackish', 'salt']",[]
Anguilla reinhardtii,7512,Anguille de Reinhardt,"['fresh', 'brackish', 'salt']",[]
Anguilla rostrata,296,Aal,"['fresh', 'brackish', 'salt']",[]
