ScientificName,SpecCode,CommonName,Environments,Subspecies
Schizodon altoparanae,52644,Parana-bredbundkigger,['fresh'],[]
Schizodon australis,52645,Sydlig bredbundkigger,['fresh'],[]
Schizodon borellii,53266,Aracú pintado,['fresh'],[]
Schizodon corti,48614,Cotí,['fresh'],[]
Schizodon dissimilis,57584,Piau galo,['fresh'],[]
Schizodon fasciatus,23448,Acurupintado,['fresh'],[]
Schizodon intermedius,52646,Højrygget bundkigger,['fresh'],[]
Schizodon isognathus,53275,Cuiaba bredbundkigger,['fresh'],[]
Schizodon jacuiensis,52647,Lagunebundkigger,['fresh'],[]
Schizodon knerii,53725,Bahia-bredbundkigger,['fresh'],[]
Schizodon nasutus,53264,Amboré,['fresh'],[]
Schizodon platae,53265,Boga lisa,['fresh'],[]
Schizodon rostratus,61627,Teresina-bredbundkigger,['fresh'],[]
Schizodon scotorhabdotus,64031,Mørkstribet bredbundkigger,['fresh'],[]
Schizodon succinctus,66127,Rosario-bredbundkigger,['fresh'],[]
Schizodon vittatus,25712,Aracu,['fresh'],[]
