ScientificName,SpecCode,CommonName,Environments,Subspecies
Acanthistius brasilianus,351,Argentine seabass,"['brackish', 'salt']",[]
Acanthistius cinctus,12690,Girdled rock cod,['salt'],[]
Acanthistius fuscus,59850,Capuco,['salt'],[]
Acanthistius joanae,65330,Scalyjaw koester,['salt'],[]
Acanthistius ocellatus,15036,Boot,['salt'],[]
Acanthistius pardalotus,15038,Leopard perch,['salt'],[]
Acanthistius patachonicus,50141,Mero,['salt'],[]
Acanthistius paxtoni,15040,Orangelined wirrah,['salt'],[]
Acanthistius pictus,57960,Brick seabass,['salt'],[]
Acanthistius sebastoides,7920,Akant natalski,['salt'],[]
Acanthistius serratus,15042,Western wirrah,['salt'],[]
