ScientificName,SpecCode,CommonName,Environments,Subspecies
Odontanthias borbonius,23333,Checked swallowtail,['salt'],[]
Odontanthias caudicinctus,23336,Blackblotch swallowtail,['salt'],[]
Odontanthias cauoh,70540,Carolina,['salt'],[]
Odontanthias chrysostictus,25813,Barahanadai,['salt'],[]
Odontanthias dorsomaculatus,56832,,['salt'],[]
Odontanthias elizabethae,58182,伊莉萨白牙花鮨,['salt'],[]
Odontanthias flagris,24848,Hatatate-hanadai,['salt'],[]
Odontanthias fuscipinnis,58183,Hawaiian deep anthias,['salt'],[]
Odontanthias grahami,64592,,['salt'],[]
Odontanthias hensleyi,66426,,['salt'],[]
Odontanthias katayamai,64625,,['salt'],[]
Odontanthias randalli,66271,Lombok Swallowtail,['salt'],[]
Odontanthias rhodopeplus,10631,Boro-sakuradai,['salt'],[]
Odontanthias tapui,56328,Holanthias,['salt'],[]
Odontanthias unimaculatus,24847,Itten-sakuradai,['salt'],[]
Odontanthias wassi,64593,,['salt'],[]
