ScientificName,SpecCode,CommonName,Environments,Subspecies
Plectranthias ahiahiata,69173,Sunset perchlet,['salt'],[]
Plectranthias alcocki,67312,Alcock's deep-reef basslet,['salt'],[]
Plectranthias alleni,15111,Allen's perchlet,['salt'],[]
Plectranthias altipinnatus,24846,Chigohanadai,['salt'],[]
Plectranthias anthioides,13022,Coral cod,['salt'],[]
Plectranthias azumanus,70044,Azuma perchlet,['salt'],[]
Plectranthias bauchotae,26724,鲍科氏棘花鮨,['salt'],[]
Plectranthias bennetti,68748,Bennett's perchlet,['salt'],[]
Plectranthias bilaticlavia,47013,貪食棘花鮨,['salt'],[]
Plectranthias cirrhitoides,26729,拟髯棘花鮨,['salt'],[]
Plectranthias cruentus,70054,Bloody perchlet,['salt'],[]
Plectranthias elaine,65023,,['salt'],[]
Plectranthias elongatus,65962,,['salt'],[]
Plectranthias exsul,56285,印度洋棘花鮨,['salt'],[]
Plectranthias ferrugineus,70040,Rusty perchlet,['salt'],[]
Plectranthias fijiensis,26855,斐济棘花鮨,['salt'],[]
Plectranthias flammeus,66972,Flame perchlet,['salt'],[]
Plectranthias foresti,26731,福雷斯特氏棘花鮨,['salt'],[]
Plectranthias fourmanoiri,12797,Barred perchlet,['salt'],[]
Plectranthias gardineri,12798,加氏棘花鮨,['salt'],[]
Plectranthias garrupellus,3339,Apricot Bass,['salt'],[]
Plectranthias grahami,70041,Graham's perchlet,['salt'],[]
Plectranthias helenae,26734,海伦棘花鲈,['salt'],[]
Plectranthias hinano,69130,Hinano's perchlet,['salt'],[]
Plectranthias inermis,26735,Anthias à faux blanche,['salt'],[]
Plectranthias intermedius,26740,中間棘花鮨,['salt'],[]
Plectranthias japonicus,10577,Barred red bass,['salt'],[]
Plectranthias jothyi,59844,焦氏棘花鮨,['salt'],[]
Plectranthias kamii,59805,Izuhanadai,['salt'],[]
Plectranthias kelloggi,24841,Dài bān jí huā yì,['salt'],[]
Plectranthias klausewitzi,63096,,['salt'],[]
Plectranthias knappi,59845,納普氏棘花鮨,['salt'],[]
Plectranthias lasti,56737,Trawl perchlet,['salt'],[]
Plectranthias longimanus,7322,Chibi-hanadai,['salt'],[]
Plectranthias maculicauda,15112,Spot-tail perchlet,['salt'],[]
Plectranthias maugei,26741,莫氏棘花鮨,['salt'],[]
Plectranthias mcgroutheri,70042,McGrouther's perchlet,['salt'],[]
Plectranthias megalepis,26743,大鱗棘花鮨,['salt'],[]
Plectranthias megalophthalmus,15114,Citron perchlet,['salt'],[]
Plectranthias melanesius,70045,Melanesian perchlet,['salt'],[]
Plectranthias moretonensis,70043,,['salt'],[]
Plectranthias morgansi,16876,Flagfin,['salt'],[]
Plectranthias nanus,15118,Bownband perchlet,['salt'],[]
Plectranthias nazcae,65335,Red splodge,['salt'],[]
Plectranthias normanby,69588,Four-eyes perchlet,['salt'],[]
Plectranthias pallidus,56739,Pale perchlet,['salt'],[]
Plectranthias parini,59846,Parin's anthias,['salt'],[]
Plectranthias pelicieri,26714,Anthias de Pelicier,['salt'],[]
Plectranthias polygonius,69129,Polygon perchlet,['salt'],[]
Plectranthias purpuralepis,69649,Purple-scaled perchlet,['salt'],[]
Plectranthias randalli,59806,伦氏棘花鮨,['salt'],[]
Plectranthias retrofasciatus,26750,后纹棘花鮨,['salt'],[]
Plectranthias robertsi,56738,Filamentous perchlet,['salt'],[]
Plectranthias rubrifasciatus,26755,紅帶棘花鮨,['salt'],[]
Plectranthias sagamiensis,10447,Nishikihanadai,['salt'],[]
Plectranthias sheni,59804,沈氏花鱸,['salt'],[]
Plectranthias takasei,70543,Hinomaru perchlet,['salt'],[]
Plectranthias taylori,26758,Plectranthias,['salt'],[]
Plectranthias vexillarius,26761,旗鰭棘花鮨,['salt'],[]
Plectranthias wheeleri,14457,Spotted perchlet,['salt'],[]
Plectranthias whiteheadi,26764,中洲棘花鮨,['salt'],[]
Plectranthias winniensis,12799,Redblotch basslet,['salt'],[]
Plectranthias xanthomaculatus,65963,,['salt'],[]
Plectranthias yamakawai,24844,Amami-hanadai,['salt'],[]
