ScientificName,SpecCode,CommonName,Environments,Subspecies
Antigonia aurorosea,59051,,['salt'],[]
Antigonia capros,3258,Advim,['salt'],[]
Antigonia combatia,3259,Boa-hishidai,['salt'],[]
Antigonia emanuela,69234,Emanuela's boarfish,['salt'],[]
Antigonia eos,59055,Senbei fish,['salt'],[]
Antigonia hulleyi,63159,,['salt'],[]
Antigonia indica,59052,,['salt'],[]
Antigonia kenyae,63845,,['salt'],[]
Antigonia malayana,10638,Boarfish,['salt'],[]
Antigonia ovalis,64512,,['salt'],[]
Antigonia quiproqua,64513,,['salt'],[]
Antigonia rhomboidea,14237,Pink boarfish,['salt'],[]
Antigonia rubescens,7651,Beervis,['salt'],[]
Antigonia rubicunda,59079,Rosy boarfish,['salt'],[]
Antigonia saya,59053,,['salt'],[]
Antigonia socotrae,64514,,['salt'],[]
Antigonia undulata,63158,,['salt'],[]
Antigonia xenolepis,59054,,['salt'],[]
