ScientificName,SpecCode,CommonName,Environments,Subspecies
Apogon americanus,27233,Brazilian flamefish,['salt'],[]
Apogon atradorsatus,25507,Blacktip cardinalfish,['salt'],[]
Apogon atricaudus,46600,Cardenal,['salt'],[]
Apogon aurolineatus,3521,Bridle cardinalfish,['salt'],[]
Apogon axillaris,17360,Axillary-spot cardinalfish,['salt'],[]
Apogon binotatus,3522,Barred cardinalfish,['salt'],[]
Apogon campbelli,63429,,['salt'],[]
Apogon caudicinctus,58152,Little tailband cardinalfish,['salt'],[]
Apogon ceramensis,67937,Ceram cardinalfish,['salt'],[]
Apogon coccineus,5752,Cryptic cardinalfish,['salt'],[]
Apogon crassiceps,12992,Akafuji-tenjikudai,['salt'],[]
Apogon dammermani,27481,,['salt'],[]
Apogon deetsie,51830,Deetsie's cardinalfish,['salt'],[]
Apogon dhofar,27313,Dhofar cardinalfish,['salt'],[]
Apogon dianthus,60364,,['salt'],[]
Apogon doryssa,5753,Dangat,['salt'],[]
Apogon dovii,8256,Cardenal colimanchada,['salt'],[]
Apogon erythrinus,12998,Cryptic cardinalfish,['salt'],[]
Apogon erythrosoma,65004,,['salt'],[]
Apogon fugax,70340,elusive cardinalfish,['salt'],[]
Apogon gouldi,60348,Cardenal de lo alto,['salt'],[]
Apogon guadalupensis,3523,Cardenal mexicano,['salt'],[]
Apogon hypselonotus,70432,Long-spine cardinalfish,['salt'],[]
Apogon imberbis,1693,Alcaraz,['salt'],[]
Apogon indicus,60052,Indian cardinalfish,['salt'],[]
Apogon kautamea,63427,Mārau,['salt'],[]
Apogon lachneri,3524,Cardenal estrella blanca,['salt'],[]
Apogon lativittatus,59452,,['salt'],[]
Apogon latus,60370,,['salt'],[]
Apogon leptocaulus,3525,Slendertail cardinalfish,['salt'],[]
Apogon maculatus,3526,Apogon ognisty,['salt'],[]
Apogon marquesensis,60054,,['salt'],[]
Apogon mosavi,12409,Dwarf cardinalfish,['salt'],[]
Apogon nitidus,23651,Apogon à points bleus,['salt'],[]
Apogon pacificus,25508,Cardenal,['salt'],[]
Apogon phenax,3527,Cardenal mimético,['salt'],[]
Apogon pillionatus,3528,Broadsaddle cardinalfish,['salt'],[]
Apogon planifrons,3529,Cardenal Pálido,['salt'],[]
Apogon posterofasciatus,60353,Rearbar cardinalfish,['salt'],[]
Apogon pseudomaculatus,3530,Cardenal de dos puntos,['salt'],[]
Apogon quadrisquamatus,3531,Cardenal Espinoso,['salt'],[]
Apogon retrosella,46598,Barspot cardinalfish,['salt'],[]
Apogon robbyi,50361,Striped cardinalfish,['salt'],[]
Apogon robinsi,16435,Cardenal,['salt'],[]
Apogon rubellus,62869,,['salt'],[]
Apogon rubrifuscus,63428,Flathead cardinalfish,['salt'],[]
Apogon seminigracaudus,63902,Darktail cardinalfish,['salt'],[]
Apogon semiornatus,8008,Drieband-kardinaal,['salt'],[]
Apogon soloriens,70365,Asahi-tenjikudai,['salt'],[]
Apogon susanae,60053,,['salt'],[]
Apogon talboti,12906,Flame cardinalfish,['salt'],[]
Apogon townsendi,3532,Belted cardinalfish,['salt'],[]
Apogon tricinctus,66861,Threeband cardinalfish,['salt'],[]
Apogon unicolor,23741,Big red cardinalfish,['salt'],[]
