ScientificName,SpecCode,CommonName,Environments,Subspecies
Apogonichthyoides atripes,60369,Bulls-eye cardinalfish,['salt'],[]
Apogonichthyoides brevicaudatus,10543,Ibis,['salt'],[]
Apogonichthyoides cantoris,60357,,['salt'],[]
Apogonichthyoides cathetogramma,59776,Yokosuji-ishimochi,['salt'],[]
Apogonichthyoides chrysurus,14902,Gentle cardinalfish,['salt'],[]
Apogonichthyoides erdmanni,66327,Deepreef cardinalfish,['salt'],[]
Apogonichthyoides euspilotus,64496,,['salt'],[]
Apogonichthyoides gardineri,58154,,['salt'],[]
Apogonichthyoides heptastygma,50885,七冥天竺鯛,['salt'],[]
Apogonichthyoides maculipinnis,25687,Specklehead cardinalfish,['salt'],[]
Apogonichthyoides melas,5749,Black cardinalfish,['salt'],[]
Apogonichthyoides miniatus,65763,,['salt'],[]
Apogonichthyoides niger,8232,Cardinalfish,['salt'],[]
Apogonichthyoides nigripinnis,8012,Apogon à nageoires noires,['salt'],[]
Apogonichthyoides opercularis,14817,Pearlycheek cardinalfish,['salt'],[]
Apogonichthyoides pharaonis,60362,Bullseye cardinalfish,['salt'],[]
Apogonichthyoides pseudotaeniatus,26632,Cardinalfish,['salt'],[]
Apogonichthyoides regani,52959,,['salt'],[]
Apogonichthyoides sialis,60368,Twinbar cardinalfish,['salt'],[]
Apogonichthyoides taeniatus,127,Apogon à deux selles,['salt'],[]
Apogonichthyoides timorensis,12658,Kakure-ishimochi,['salt'],[]
Apogonichthyoides umbratilis,65323,Cryptic cardinalfish,['salt'],[]
Apogonichthyoides uninotatus,59764,Brunplettet kardinalfisk,['salt'],[]
