ScientificName,SpecCode,CommonName,Environments,Subspecies
Siphamia arabica,66541,,['salt'],[]
Siphamia argentea,59176,Silver siphonfish,['salt'],[]
Siphamia arnazae,69014,Cat's eye cardinalfish,['salt'],[]
Siphamia brevilux,66542,Shortlight siphonfish,['salt'],[]
Siphamia cephalotes,14886,Little siphonfish,"['brackish', 'salt']",[]
Siphamia corallicola,25077,Coral siphonfish,['salt'],[]
Siphamia cuneiceps,14888,Siphon fish,['salt'],[]
Siphamia cyanophthalma,66543,Blue-eye siphonfish,['salt'],[]
Siphamia elongata,59177,Elongate siphonfish,['salt'],[]
Siphamia fistulosa,5785,Fistulose cardinalfish,['salt'],[]
Siphamia fraseri,66544,,['salt'],[]
Siphamia fuscolineata,5783,Brown-striped siphonfish,['salt'],[]
Siphamia goreni,66545,,['salt'],[]
Siphamia guttulata,14890,Speckled siphonfish,['salt'],[]
Siphamia jebbi,25105,Jebb's siphonfish,['salt'],[]
Siphamia majimai,14892,Majima-kuro-ishimochi,['salt'],[]
Siphamia mossambica,12628,Sea urchin cardinal,['salt'],[]
Siphamia papuensis,68974,,['salt'],[]
Siphamia randalli,66549,,['salt'],[]
Siphamia roseigaster,11667,Pinkbreast siphonfish,['salt'],[]
Siphamia senoui,66550,,['salt'],[]
Siphamia spinicola,66551,Reef siphonfish,['salt'],[]
Siphamia stenotes,66552,Narrow-lined siphonfish,['salt'],[]
Siphamia tubifer,59179,Bagsang,['salt'],[]
Siphamia tubulata,14897,Pipe siphonfish,['salt'],[]
