ScientificName,SpecCode,CommonName,Environments,Subspecies
Taeniamia ataenia,59462,Barless cardinalfish,['salt'],[]
Taeniamia biguttata,5775,Blackspot cardinalfish,['salt'],[]
Taeniamia bilineata,58158,双线长鳍天竺鲷,['salt'],[]
Taeniamia buruensis,27484,Buru cardinalfish,"['brackish', 'salt']",[]
Taeniamia flavofasciata,62300,,['salt'],[]
Taeniamia fucata,5776,Apogon à stries oranges,['salt'],[]
Taeniamia kagoshimana,67636,Sumitsuki-atohiki-tenjikudai,['salt'],[]
Taeniamia leai,12627,Lea's cardinalfish,['salt'],[]
Taeniamia lineolata,7854,Atohikitenjikudai,['salt'],[]
Taeniamia macroptera,59188,Dusky-tailed cardinalfish,['salt'],[]
Taeniamia melasma,67372,Blackspot cardinalfish,['salt'],[]
Taeniamia mozambiquensis,23656,Mosambiekse kardinaal,['salt'],[]
Taeniamia pallida,27315,Pale cardinalfish,['salt'],[]
Taeniamia zosterophora,5777,Bagsang,['salt'],[]
