ScientificName,SpecCode,CommonName,Environments,Subspecies
Apteronotus acidops,66372,Boca rachada,['fresh'],[]
Apteronotus albifrons,12220,Amerikanischer Weißstirn Messerfisch,['fresh'],[]
Apteronotus anu,70218,,['fresh'],[]
Apteronotus apurensis,48010,阿普雷翎电鳗,['fresh'],[]
Apteronotus baniwa,70215,,['fresh'],[]
Apteronotus bonapartii,13257,Anguila,['fresh'],[]
Apteronotus brasiliensis,48011,boca rachada,['fresh'],[]
Apteronotus camposdapazi,62978,,['fresh'],[]
Apteronotus caudimaculosus,61545,,['fresh'],[]
Apteronotus cuchillejo,48032,Pez cuchillejo,['fresh'],[]
Apteronotus cuchillo,48018,Cuchillo,['fresh'],[]
Apteronotus curvioperculata,48030,,['fresh'],[]
Apteronotus ellisi,48025,埃氏背孔电鳗,['fresh'],[]
Apteronotus eschmeyeri,61539,Mayupa,['fresh'],[]
Apteronotus ferrarisi,70221,,['fresh'],[]
Apteronotus galvisi,64185,,['fresh'],[]
Apteronotus jurubidae,48016,洁溪翎电鳗,['fresh'],[]
Apteronotus leptorhynchus,15943,Cuchillo,['fresh'],[]
Apteronotus lindalvae,67076,,['fresh'],[]
Apteronotus macrolepis,57641,Anguila,['fresh'],[]
Apteronotus macrostomus,48017,大口鰭電鰻,['fresh'],[]
Apteronotus magdalenensis,48070,Caballo,['fresh'],[]
Apteronotus magoi,62968,,['fresh'],[]
Apteronotus mariae,48015,玛丽亚翎电鳗,['fresh'],[]
Apteronotus milesi,62449,,['fresh'],[]
Apteronotus pemon,70217,,['fresh'],[]
Apteronotus rostratus,48013,Anguila,['fresh'],[]
Apteronotus spurrellii,48014,斯珀氏翎电鳗,['fresh'],[]
