ScientificName,SpecCode,CommonName,Environments,Subspecies
Sternarchorhynchus axelrodi,65473,Axelrod's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus britskii,57650,Britski's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus caboclo,62720,Cabocolo tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus chaoi,65474,Chao's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus cramptoni,65487,Crampton's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus curumim,62842,Curumim tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus curvirostris,48069,Anguila,['fresh'],[]
Sternarchorhynchus freemani,65488,Freeman's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus galibi,65489,Galibi tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus gnomus,62717,Gnomus tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus goeldii,65490,Goeldi's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus hagedornae,65500,Hagedorn's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus higuchii,65501,Higuchi's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus inpai,65503,Inpa tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus jaimei,65504,Jamei's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus kokraimoro,65505,Kokraimoro tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus mareikeae,65507,Mareike's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus marreroi,65508,Marrero's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus mendesi,65509,Mendes' tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus mesensis,57651,Mesensis tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus montanus,65510,Montanus tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus mormyrus,48067,Mormyrus tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus oxyrhynchus,28042,Anguila,['fresh'],[]
Sternarchorhynchus retzeri,65511,Retzer's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus roseni,47945,Rosen knifefish,['fresh'],[]
Sternarchorhynchus schwassmanni,65516,Schwassmann's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus severii,62719,Severi's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus starksi,65517,Stark's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus stewarti,65518,Stewart's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus taphorni,65519,Taphorn's tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus villasboasi,65521,Villasboas' tube-snouted ghost knifefish,['fresh'],[]
Sternarchorhynchus yepezi,65520,Yepez' tube-snouted ghost knifefish,['fresh'],[]
