ScientificName,SpecCode,CommonName,Environments,Subspecies
Bathyraja abyssicola,22552,Chihirokasube,['salt'],[]
Bathyraja aguja,54024,Aguja skate,['salt'],[]
Bathyraja albomaculata,51178,Raya de lunares,['salt'],[]
Bathyraja aleutica,2555,Aleutian skate,['salt'],[]
Bathyraja andriashevi,12581,Kleinogige rog,['salt'],[]
Bathyraja arctowskii,69387,Antarctic dark-mouth skate,['salt'],[]
Bathyraja bergi,50293,Bergi süvarai,['salt'],[]
Bathyraja brachyurops,51184,Breedsnuitrog,['salt'],[]
Bathyraja caeluronigricans,22562,Lillakasmust süvarai,['salt'],[]
Bathyraja chapmani,69859,Chapman's skate,['salt'],[]
Bathyraja cousseauae,63559,Cousseau süvarai,['salt'],[]
Bathyraja diplotaenia,22559,Donkerroze rog,['salt'],[]
Bathyraja eatonii,6948,Eatoni süvarai,['salt'],[]
Bathyraja fedorovi,54111,Cinnamon skate,['salt'],[]
Bathyraja griseocauda,27229,Austral ray,['salt'],[]
Bathyraja hesperafricana,23795,Lääneaafrika süvarai,['salt'],[]
Bathyraja interrupta,2559,Bering skate,['salt'],[]
Bathyraja irrasa,6949,Kerguelen sandpaper skate,['salt'],[]
Bathyraja ishiharai,63802,Abyssal skate,['salt'],[]
Bathyraja isotrachys,22556,Challenger skate,['salt'],[]
Bathyraja kincaidii,69750,Sandpaper Skate,['salt'],[]
Bathyraja leucomelanos,66441,Domino skate,['salt'],[]
Bathyraja lindbergi,22565,Commander skate,['salt'],[]
Bathyraja longicauda,52468,Pikksaba-süvarai,['salt'],[]
Bathyraja maccaini,6950,McCaini süvarai,['salt'],[]
Bathyraja macloviana,52474,Patagonian skate,['salt'],[]
Bathyraja maculata,54021,Laiguline süvarai,['salt'],[]
Bathyraja magellanica,51190,Magalhãesi süvarai,['salt'],[]
Bathyraja mariposa,63102,Butterfly skate,['salt'],[]
Bathyraja matsubarai,22561,Donkerpaarse rog,['salt'],[]
Bathyraja meridionalis,6951,Dark-belly skate,['salt'],[]
Bathyraja microtrachys,69753,Fijngestekelde rog,['salt'],[]
Bathyraja minispinosa,22564,Kleingestekelde rog,['salt'],[]
Bathyraja multispinis,54023,Multispine skate,['salt'],[]
Bathyraja murrayi,6952,Murray süvarai,['salt'],[]
Bathyraja notoroensis,22563,Notoro skate,['salt'],[]
Bathyraja pacifica,68503,,['salt'],[]
Bathyraja pallida,9251,Heller Tiefenrochen,['salt'],[]
Bathyraja panthera,66500,Leopard skate,['salt'],[]
Bathyraja papilionifera,54019,Butterfly skate,['salt'],[]
Bathyraja peruana,54020,Peruu süvarai,['salt'],[]
Bathyraja pseudoisotrachys,54091,Jaapani süvarai,['salt'],[]
Bathyraja richardsoni,9252,Deepsea skate,['salt'],[]
Bathyraja scaphiops,52472,Cuphead skate,['salt'],[]
Bathyraja schroederi,54022,Hvidmundet rokke,['salt'],[]
Bathyraja shuntovi,47416,Longnose deepsea skate,['salt'],[]
Bathyraja smirnovi,22567,Dobukasube,['salt'],[]
Bathyraja smithii,10121,African softnose skate,['salt'],[]
Bathyraja spinicauda,2569,Dornschwanz-Tiefenrochen,['salt'],[]
Bathyraja spinosissima,13208,Pacific white skate,['salt'],[]
Bathyraja taranetzi,54038,Aleoetenrog,"['brackish', 'salt']",[]
Bathyraja trachouros,22557,Eremo skate,['salt'],[]
Bathyraja trachura,2571,Black skate,['salt'],[]
Bathyraja tunae,63803,Mosambiigi süvarai,['salt'],[]
Bathyraja tzinovskii,12582,Creamback skate,['salt'],[]
Bathyraja violacea,22558,Kitanokasube,['salt'],[]
