ScientificName,SpecCode,CommonName,Environments,Subspecies
Notoraja alisae,67396,Alis' velvet skate,['salt'],[]
Notoraja azurea,63978,Blue skate,['salt'],[]
Notoraja fijiensis,67400,Fidži turirai,['salt'],[]
Notoraja hesperindica,69405,Western blue skate,['salt'],[]
Notoraja hirticauda,63807,Ghost skate,['salt'],[]
Notoraja inusitata,67399,Võõrik turirai,['salt'],[]
Notoraja lira,63979,Aheliku turirai,['salt'],[]
Notoraja longiventralis,67401,Pikkuim-turirai,['salt'],[]
Notoraja martinezi,68650,Barbedwire-tailed skate,['salt'],[]
Notoraja ochroderma,15423,Bleke rog,['salt'],[]
Notoraja sapphira,65021,Raie saphir,['salt'],[]
Notoraja sereti,68374,Papuan velvet skate,['salt'],[]
Notoraja sticta,63980,Blotched skate,['salt'],[]
Notoraja tobitukai,22555,Leadhued skate,['salt'],[]
Notoraja yurii,69933,,['salt'],[]
