ScientificName,SpecCode,CommonName,Environments,Subspecies
Pogonophryne albipinna,59316,Whitefin plunderfish,['salt'],[]
Pogonophryne barsukovi,7072,Stubbeard plunderfish,['salt'],[]
Pogonophryne bellingshausenensis,64671,Spotless nape plunderfish,['salt'],[]
Pogonophryne brevibarbata,65894,Korotkovusa borodatka,['salt'],[]
Pogonophryne cerebropogon,58219,Brainbeard plunderfish,['salt'],[]
Pogonophryne dewitti,7074,DeWitt's plunderfish,['salt'],[]
Pogonophryne eakini,56511,Eakin's plunderfish,['salt'],[]
Pogonophryne favosa,69000,,['salt'],[]
Pogonophryne fusca,59317,Dark toad plunderfish,['salt'],[]
Pogonophryne immaculata,7076,Spotless plunderfish,['salt'],[]
Pogonophryne lanceobarbata,7077,Lancebeard plunderfish,['salt'],[]
Pogonophryne macropogon,7078,Greatbeard plunderfish,['salt'],[]
Pogonophryne maculiventrata,69003,Spotbelly plunderfish,['salt'],[]
Pogonophryne marmorata,7079,Marbled plunderfish,['salt'],[]
Pogonophryne mentella,49433,Harilik piitslõug,['salt'],[]
Pogonophryne neyelovi,66944,Hopbeard plunderfish,['salt'],[]
Pogonophryne orangiensis,56547,Orangebeard plunderfish,['salt'],[]
Pogonophryne pavlovi,69002,,['salt'],[]
Pogonophryne permitini,7082,Finespotted plunderfish,['salt'],[]
Pogonophryne platypogon,7084,Flatbeard plunderfish,['salt'],[]
Pogonophryne sarmentifera,69001,,['salt'],[]
Pogonophryne scotti,7085,Saddleback plunderfish,['salt'],[]
Pogonophryne skorai,68999,Skora's toadlike plunderfish,['salt'],[]
Pogonophryne squamibarbata,59318,Scalebeard plunderfish,['salt'],[]
Pogonophryne stewarti,65644,Whipbeard plunderfish,['salt'],[]
Pogonophryne tronio,66665,Turquoise plunderfish,['salt'],[]
Pogonophryne ventrimaculata,7087,Spotbelly plunderfish,['salt'],[]
