ScientificName,SpecCode,CommonName,Environments,Subspecies
Hypoatherina barnesi,1305,Athérine de Barnes,['salt'],[]
Hypoatherina celebesensis,66662,Sulawesi Silverside,['salt'],[]
Hypoatherina crenolepis,15269,Crenulated silverside,['salt'],[]
Hypoatherina golanii,66755,Red Sea silverside,['salt'],[]
Hypoatherina harringtonensis,3237,Athérine des récifs,['salt'],[]
Hypoatherina lunata,66756,Okinawan silverside,['salt'],[]
Hypoatherina macrophthalma,66663,Large-eye Silverside,['salt'],[]
Hypoatherina ovalaua,8120,Fijian silverside,['salt'],[]
Hypoatherina temminckii,1307,Athérine samoan,['salt'],[]
Hypoatherina tropicalis,15461,Tropical hardyhead,['salt'],[]
Hypoatherina tsurugae,23372,Aoharara,['salt'],[]
Hypoatherina valenciennei,15462,Bái shì yín hàn yú,"['brackish', 'salt']",[]
Hypoatherina woodwardi,23371,Okinawa-tôgorô,['salt'],[]
