ScientificName,SpecCode,CommonName,Environments,Subspecies
Odontesthes argentinensis,12927,Argentiina hammasateriin,"['fresh', 'brackish', 'salt']",[]
Odontesthes bicudo,60389,Peixe-rei,['fresh'],[]
Odontesthes bonariensis,4678,Argentinian silverside,"['fresh', 'brackish', 'salt']",[]
Odontesthes brevianalis,54643,,['fresh'],[]
Odontesthes gracilis,54645,,['fresh'],[]
Odontesthes hatcheri,50822,pejerrey,['fresh'],[]
Odontesthes humensis,53520,Peixe rei,['fresh'],[]
Odontesthes incisa,12926,Cornal,"['fresh', 'brackish', 'salt']",[]
Odontesthes ledae,60390,,"['fresh', 'brackish']",[]
Odontesthes mauleanum,50716,,['fresh'],[]
Odontesthes mirinensis,53521,Pejerrey,['fresh'],[]
Odontesthes nigricans,53206,浅黑澳洲银汉鱼,"['fresh', 'brackish', 'salt']",[]
Odontesthes orientalis,54640,,['fresh'],[]
Odontesthes perugiae,50712,juncalero,['fresh'],[]
Odontesthes piquava,60388,,['fresh'],[]
Odontesthes platensis,50830,Pejerrey,"['fresh', 'brackish', 'salt']",[]
Odontesthes regia,8172,Athérine chilienne,"['fresh', 'brackish', 'salt']",[]
Odontesthes retropinnis,50833,Pejerrey,['fresh'],[]
Odontesthes smitti,50829,Corno,['fresh'],[]
Odontesthes wiebrichi,54646,,['fresh'],[]
Odontesthes yucuman,68646,Peixe-rei,['fresh'],[]
