ScientificName,SpecCode,CommonName,Environments,Subspecies
Auchenipterus ambyiacus,57149,Bagre,['fresh'],[]
Auchenipterus brachyurus,52132,Barbudo,['fresh'],[]
Auchenipterus brevior,57148,,['fresh'],[]
Auchenipterus britskii,57151,,['fresh'],[]
Auchenipterus demerarae,57147,,['fresh'],[]
Auchenipterus dentatus,57146,,['fresh'],[]
Auchenipterus fordicei,53668,,['fresh'],[]
Auchenipterus menezesi,57152,Peixe-gato,['fresh'],[]
Auchenipterus nigripinnis,47653,bagre,['fresh'],[]
Auchenipterus nuchalis,52120,Barbudo,['fresh'],[]
Auchenipterus osteomystax,57150,Buzo,['fresh'],[]
