ScientificName,SpecCode,CommonName,Environments,Subspecies
Pseudobagrus albomarginatus,50918,白边拟鲿,['fresh'],[]
Pseudobagrus analis,50919,長臀擬鱨,['fresh'],[]
Pseudobagrus aurantiacus,22948,Ariake-gibachi,['fresh'],[]
Pseudobagrus brachyrhabdion,63862,,['fresh'],[]
Pseudobagrus brevianalis,50920,短臀拟鲿,['fresh'],[]
Pseudobagrus brevicaudatus,50921,短尾拟鲿,['fresh'],[]
Pseudobagrus crassilabris,55077,Varjokimalaismonni,['fresh'],[]
Pseudobagrus eupogoides,50937,似長鬚黃顙魚,['fresh'],[]
Pseudobagrus fui,50940,富氏黃顙魚,['fresh'],[]
Pseudobagrus gracilis,62640,,['fresh'],[]
Pseudobagrus hwanghoensis,50923,黃河擬鱨,['fresh'],[]
Pseudobagrus kaifenensis,50925,开封拟鲿,['fresh'],[]
Pseudobagrus koreanus,57439,눈동자개,['fresh'],[]
Pseudobagrus kyphus,60033,,['fresh'],[]
Pseudobagrus medianalis,10396,Dianchi bullhead,['fresh'],[]
Pseudobagrus microps,50942,小眼黃顙魚,['fresh'],[]
Pseudobagrus nubilosus,63297,,['fresh'],[]
Pseudobagrus omeihensis,50926,峨嵋拟鲿,['fresh'],[]
Pseudobagrus ondon,50927,盎堂拟鲿,['fresh'],[]
Pseudobagrus pratti,50761,凹尾拟鲿,['fresh'],[]
Pseudobagrus rendahli,50928,伦氏拟鲿,['fresh'],[]
Pseudobagrus sinyanensis,60432,信阳拟鲿,['fresh'],[]
Pseudobagrus taeniatus,50929,条纹拟鲿,['fresh'],[]
Pseudobagrus taiwanensis,50930,台湾拟鲿,['fresh'],[]
Pseudobagrus tenuifurcatus,50947,叉尾鮠,['fresh'],[]
Pseudobagrus tenuis,50762,圆尾拟鲿,['fresh'],[]
Pseudobagrus tokiensis,56248,Gibachi,['fresh'],[]
Pseudobagrus trilineatus,55078,三線擬鱨,['fresh'],[]
Pseudobagrus truncatus,50932,切尾拟鲿,['fresh'],[]
Pseudobagrus vachellii,50950,],['fresh'],[]
Pseudobagrus wangi,50959,王氏黃顙魚,['fresh'],[]
