ScientificName,SpecCode,CommonName,Environments,Subspecies
Tachysurus adiposalis,17307,三角姑,['fresh'],[]
Tachysurus argentivittatus,50965,Dwarf catfish,['fresh'],[]
Tachysurus brashnikowi,28024,Brazhnikov's catfish,['fresh'],[]
Tachysurus dumerili,50980,Chinese longsnout catfish,"['fresh', 'brackish']",[]
Tachysurus fulvidraco,28052,(китайская) косатка-скрипун,['fresh'],[]
Tachysurus herzensteini,28047,Herzensteini käätssäga,['fresh'],[]
Tachysurus hoi,50941,,['fresh'],[]
Tachysurus longispinalis,65696,,['fresh'],[]
Tachysurus nitidus,50943,밀자개,"['fresh', 'brackish']",[]
Tachysurus nudiceps,22947,Gigi,['fresh'],[]
Tachysurus sinensis,58672,Amurinkimalaismonni,"['fresh', 'brackish']",[]
Tachysurus spilotus,65145,,['fresh'],[]
Tachysurus virgatus,50951,条纹鮠,['fresh'],[]
