ScientificName,SpecCode,CommonName,Environments,Subspecies
Hemimyzon confluens,57704,Lõimuim-liibhink,['fresh'],[]
Hemimyzon ecdyonuroides,59734,Massak-liibhink,['fresh'],[]
Hemimyzon formosanus,17240,Balitora formóská,['fresh'],[]
Hemimyzon khonensis,57705,Balitora khonská,['fresh'],[]
Hemimyzon macroptera,58555,Balitora velkoploutvá,['fresh'],[]
Hemimyzon megalopseos,58556,Balitora jiliangská,['fresh'],[]
Hemimyzon nanensis,52709,Balitora nanská,['fresh'],[]
Hemimyzon papilio,50377,Balitora motýlovitá,['fresh'],[]
Hemimyzon pengi,57995,Pengi liibhink,['fresh'],[]
Hemimyzon pumilicorpora,59917,Balitora drobnotělá,['fresh'],[]
Hemimyzon sheni,64895,Sheni liibhink,['fresh'],[]
Hemimyzon songamensis,65722,Gâmi liibhink,['fresh'],[]
Hemimyzon taitungensis,17241,Balitora tajtungská,['fresh'],[]
Hemimyzon yaotanensis,58558,Sichuani liibhink,['fresh'],[]
Hemimyzon yushanensis,69836,,['fresh'],[]
