ScientificName,SpecCode,CommonName,Environments,Subspecies
Gadomus aoteanus,46976,Filamentous rat tail,['salt'],[]
Gadomus arcuatus,8434,Doublethread Grenadier,['salt'],[]
Gadomus capensis,16773,岬鼠鱈,['salt'],[]
Gadomus colletti,23169,Katadara,['salt'],[]
Gadomus denticulatus,52174,小齒鼠鱈,['salt'],[]
Gadomus dispar,52175,野鼠鱈,['salt'],[]
Gadomus filamentosus,58887,丝鳍底尾鳕,['salt'],[]
Gadomus introniger,52176,Blackmouth rat tail,['salt'],[]
Gadomus longifilis,16283,Hirenaga-katadara,['salt'],[]
Gadomus magnifilis,52177,大丝鼠鳕,['salt'],[]
Gadomus melanopterus,58935,黑鰭鼠鱈,['salt'],[]
Gadomus multifilis,23172,Nodoguro-katadara,['salt'],[]
Gadomus pepperi,58934,Blacktongue rat tail,['salt'],[]
