ScientificName,SpecCode,CommonName,Environments,Subspecies
Strongylura anastomella,23039,Belona pacyficzna,['salt'],[]
Strongylura exilis,3162,Aguja,"['fresh', 'brackish', 'salt']",[]
Strongylura fluviatilis,53809,溪栖柱颌针鱼,"['fresh', 'brackish', 'salt']",[]
Strongylura forsythia,53810,,"['fresh', 'brackish', 'salt']",[]
Strongylura hubbsi,53812,Agujón maya,"['fresh', 'brackish']",[]
Strongylura incisa,8121,Anayid,['salt'],[]
Strongylura krefftii,8817,Baloon,"['fresh', 'brackish']",[]
Strongylura leiura,1315,Agujón cintado,"['brackish', 'salt']",[]
Strongylura marina,974,Agujon,"['fresh', 'brackish', 'salt']",[]
Strongylura notata,3163,Agujon,"['fresh', 'brackish', 'salt']",[]
Strongylura scapularis,13553,Aguja,['salt'],[]
Strongylura senegalensis,9023,Agujón senegalés,"['brackish', 'salt']",[]
Strongylura strongylura,1316,Agujón ocelado,"['brackish', 'salt']",[]
Strongylura timucu,975,Acarapindá,"['fresh', 'brackish', 'salt']",[]
Strongylura urvillii,14497,Batali,"['brackish', 'salt']",[]
