ScientificName,SpecCode,CommonName,Environments,Subspecies
Tylosurus acus,976,A'avere,['salt'],[]
Tylosurus choram,26633,Aiguille voyeuse de Mer Rouge,['salt'],[]
Tylosurus crocodilus,977,Aavere,['salt'],[]
Tylosurus fodiator,13570,Aguja,['salt'],[]
Tylosurus gavialoides,14501,Aku,"['brackish', 'salt']",[]
Tylosurus imperialis,9025,Aguglia imperiale,['salt'],[]
Tylosurus melanotus,1317,Agujon needlefish,"['fresh', 'brackish', 'salt']",[]
Tylosurus pacificus,13568,Aguja,['salt'],[]
Tylosurus punctulatus,14503,Batali,['salt'],[]
Tylosurus rafale,9026,Agudja,['salt'],[]
