ScientificName,SpecCode,CommonName,Environments,Subspecies
Bembrops anatirostris,3696,Ahiru-aitoragisu,['salt'],[]
Bembrops cadenati,47073,凯氏鲬状鱼,['salt'],[]
Bembrops caudimacula,23546,Aitoragisu,['salt'],[]
Bembrops curvatura,10503,Bigscale duckbill,['salt'],[]
Bembrops filiferus,23547,Itohiki-aitoragisu,['salt'],[]
Bembrops gobioides,3697,Goby Flathead,['salt'],[]
Bembrops greyae,10198,Cabeça-chata-da-Guiné,['salt'],[]
Bembrops heterurus,4934,Cabeça-chata-vulgar,['salt'],[]
Bembrops macromma,47085,大鯒狀魚,['salt'],[]
Bembrops magnisquamis,47092,大鱗鯒狀魚,['salt'],[]
Bembrops morelandi,47025,Flathead,['salt'],[]
Bembrops nelsoni,61186,Smallscale duckbill,['salt'],[]
Bembrops nematopterus,47114,丝鳍鲬状鱼,['salt'],[]
Bembrops ocellatus,59417,Ocellate duckbill,['salt'],[]
Bembrops platyrhynchus,7894,Natal duckbill,['salt'],[]
Bembrops quadrisella,59420,Saddleback duckbill,['salt'],[]
Bembrops raneyi,59421,Bahama duckbill,['salt'],[]
