ScientificName,SpecCode,CommonName,Environments,Subspecies
Hypleurochilus aequipinnis,3757,Blenio Ostra,['salt'],[]
Hypleurochilus bananensis,16293,Banaan-tuustkulm,['salt'],[]
Hypleurochilus bermudensis,3758,Barred blenny,['salt'],[]
Hypleurochilus brasil,67092,Brazil blenny,['salt'],[]
Hypleurochilus caudovittatus,61240,Zebratail blenny,"['brackish', 'salt']",[]
Hypleurochilus fissicornis,52386,Blenio,['salt'],[]
Hypleurochilus geminatus,3759,Blenio crestado,['salt'],[]
Hypleurochilus langi,9920,Langs Schleimfisch,"['brackish', 'salt']",[]
Hypleurochilus multifilis,59662,Borracho plumero,['salt'],[]
Hypleurochilus pseudoaequipinnis,61241,Borracho ostionero,['salt'],[]
Hypleurochilus springeri,3760,Blénido,['salt'],[]
