ScientificName,SpecCode,CommonName,Environments,Subspecies
Hypsoblennius brevipinnis,8269,Barnacle blenny,['salt'],[]
Hypsoblennius caulopus,46793,Tidepool blenny,['salt'],[]
Hypsoblennius digueti,61233,,['salt'],[]
Hypsoblennius exstochilus,16506,Blenio cornudo,['salt'],[]
Hypsoblennius gentilis,3761,Bay blenny,"['brackish', 'salt']",[]
Hypsoblennius gilberti,3762,Blenia de roca,['salt'],[]
Hypsoblennius hentz,3763,Feather blenny,['salt'],[]
Hypsoblennius invemar,12442,Tessellated blenny,['salt'],[]
Hypsoblennius ionthas,3764,Freckled blenny,['salt'],[]
Hypsoblennius jenkinsi,3765,Borracho mejillonero,['salt'],[]
Hypsoblennius maculipinna,61243,,['fresh'],[]
Hypsoblennius paytensis,46807,无鳞高鳚,['salt'],[]
Hypsoblennius proteus,59661,Borracho de Socorro,['salt'],[]
Hypsoblennius robustus,59660,粗体高鳚,['salt'],[]
Hypsoblennius sordidus,27242,污点高鳚,['salt'],[]
Hypsoblennius striatus,46799,Striated blenny,['salt'],[]
