ScientificName,SpecCode,CommonName,Environments,Subspecies
Istiblennius bellus,8043,Beautiful rockskipper,['salt'],[]
Istiblennius colei,27247,Cole's rockskipper,['salt'],[]
Istiblennius dussumieri,7562,Blenny,"['brackish', 'salt']",[]
Istiblennius edentulus,6049,Arfaj,"['brackish', 'salt']",[]
Istiblennius flaviumbrinus,27245,云纹动齿鳚,['salt'],[]
Istiblennius lineatus,6050,Black-lined blenny,['salt'],[]
Istiblennius meleagris,13761,Peacock blenny,"['brackish', 'salt']",[]
Istiblennius muelleri,27237,Mueller's rockskipper,['salt'],[]
Istiblennius pox,27015,Scarface rockskipper,['salt'],[]
Istiblennius rivulatus,23697,沟动齿鳚,['salt'],[]
Istiblennius spilotus,27016,Spotted rockskipper,['salt'],[]
Istiblennius steindachneri,27195,斯氏动齿鳚,['salt'],[]
Istiblennius unicolor,25453,Pallid rockskipper,['salt'],[]
Istiblennius zebra,7832,Gori,['salt'],[]
