ScientificName,SpecCode,CommonName,Environments,Subspecies
Praealticus bilineatus,59608,White-dotted rockskipper,['salt'],[]
Praealticus caesius,61224,Blackmargin rockskipper,['salt'],[]
Praealticus dayi,61230,,['salt'],[]
Praealticus labrovittatus,59515,Crenulate-lipped rockskipper,['salt'],[]
Praealticus margaritarius,63516,Tamaginpo,['salt'],[]
Praealticus margaritatus,59663,Pearly rockskipper,['salt'],[]
Praealticus multistriatus,61225,Linedfin rockskipper,['salt'],[]
Praealticus natalis,6055,Christmas rockskipper,['salt'],[]
Praealticus oortii,61223,Java rockskipper,['salt'],[]
Praealticus poptae,59516,Marianas rockskipper,['salt'],[]
Praealticus semicrenatus,61234,Lembeh rockskipper,['salt'],[]
Praealticus striatus,59613,Striated rockskipper,['salt'],[]
Praealticus tanegasimae,23770,Taneginpo,['salt'],[]
Praealticus triangulus,59658,Triangle-crest rockskipper,['salt'],[]
