ScientificName,SpecCode,CommonName,Environments,Subspecies
Chascanopsetta crumenalis,24580,Harilik pelikanlest,['salt'],[]
Chascanopsetta danae,69151,Angry pelican flounder,['salt'],[]
Chascanopsetta elski,58964,,['salt'],[]
Chascanopsetta kenyaensis,58966,,['salt'],[]
Chascanopsetta lugubris,1323,Areeiro pelicano,['salt'],[]
Chascanopsetta megagnatha,59543,,['salt'],[]
Chascanopsetta micrognatha,24356,Dapang bilog,['salt'],[]
Chascanopsetta novaeguineae,69682,New Guinean pelican flounder,['salt'],[]
Chascanopsetta prognatha,24227,Ukeguchi-zaragarei,['salt'],[]
Chascanopsetta prorigera,24561,,['salt'],[]
