ScientificName,SpecCode,CommonName,Environments,Subspecies
Laeops clarus,15576,Clear fin-base flounder,['salt'],[]
Laeops cypho,23882,Dapang bilog,['salt'],[]
Laeops gracilis,15575,Dapang bilog,['salt'],[]
Laeops guentheri,10587,Dapang bilog,['salt'],[]
Laeops kitaharae,24225,Kithara's flounder,['salt'],[]
Laeops lanceolata,69674,,['salt'],[]
Laeops macrophthalmus,60533,,['salt'],[]
Laeops natalensis,8893,Kakie-botvis,['salt'],[]
Laeops nigrescens,62413,,['salt'],[]
Laeops nigromaculatus,7643,Areeiro ponteado,['salt'],[]
Laeops parviceps,11234,Dapang bilog,['salt'],[]
Laeops pectoralis,7645,Areeiro peitoral,['salt'],[]
