ScientificName,SpecCode,CommonName,Environments,Subspecies
Monolene antillarum,4226,Linguado,['salt'],[]
Monolene asaedae,13560,Asaedae flounder,['salt'],[]
Monolene atrimana,47182,,['salt'],[]
Monolene danae,59542,,['salt'],[]
Monolene dubiosa,13561,Acapulco flounder,['salt'],[]
Monolene helenensis,58076,,['salt'],[]
Monolene maculipinna,13562,Dali dali,['salt'],[]
Monolene megalepis,59545,Slim flounder,['salt'],[]
Monolene mertensae,8833,Carta-de-olhos-pequenos,['salt'],[]
Monolene microstoma,4994,Carta,['salt'],[]
Monolene sessilicauda,4227,Deepwater flounder,['salt'],[]
