ScientificName,SpecCode,CommonName,Environments,Subspecies
Parabothus amaokai,52258,尼岡氏擬鮃,['salt'],[]
Parabothus budkeri,52332,小眼拟鲆,['salt'],[]
Parabothus chlorospilus,52259,扁鱼,['salt'],[]
Parabothus coarctatus,15585,Sumiregarei,['salt'],[]
Parabothus filipes,52241,,['salt'],[]
Parabothus kiensis,12568,Kishûdarumagarei,['salt'],[]
Parabothus malhensis,52331,馬爾亨擬鮃,['salt'],[]
Parabothus polylepis,24400,Manyscaled flounder,['salt'],[]
Parabothus rotundifrons,69681,,['salt'],[]
Parabothus taiwanensis,24509,台湾拟鲆,['salt'],[]
