ScientificName,SpecCode,CommonName,Environments,Subspecies
Parabotia banarescui,59575,Hubei ebabootsia,['fresh'],[]
Parabotia bimaculatus,60480,Kakslaik-ebabootsia,['fresh'],[]
Parabotia brevirostris,66647,Lühikoon-ebabootsia,['fresh'],[]
Parabotia curtus,12244,Ayumodoki,['fresh'],[]
Parabotia dubius,61375,Põhjavietnami ebabootsia,['fresh'],[]
Parabotia fasciatus,54998,Kalterinuoliainen,"['fresh', 'brackish']",[]
Parabotia kiangsiensis,66157,Jiangxi ebabootsia,['fresh'],[]
Parabotia kimluani,65692,Gâmi ebabootsia,['fresh'],[]
Parabotia lijiangensis,60507,Lijiangi ebabootsia,['fresh'],[]
Parabotia maculosus,60421,Pugal-ebabootsia,['fresh'],[]
Parabotia mantschuricus,28023,Manchurian spiny loach,['fresh'],[]
Parabotia parvus,60508,Sekavka drobná,['fresh'],[]
Parabotia vancuongi,65737,Nàhangi ebabootsia,['fresh'],[]
