ScientificName,SpecCode,CommonName,Environments,Subspecies
Bregmaceros anchovia,69832,False anchovy codlet,['salt'],[]
Bregmaceros arabicus,23168,Indo-saiuo,['salt'],[]
Bregmaceros atlanticus,3100,Antenna codlet,['salt'],[]
Bregmaceros bathymaster,54789,Bacalao de antena,['salt'],[]
Bregmaceros cantori,56859,Bacalete rayado,['salt'],[]
Bregmaceros cayorum,65067,,['salt'],[]
Bregmaceros houdei,59321,Stellate codlet,['salt'],[]
Bregmaceros japonicus,24833,Cá Tuyết tê giác Nhật bản,['salt'],[]
Bregmaceros lanceolatus,13130,尖尾犀鱈,"['brackish', 'salt']",[]
Bregmaceros mcclellandi,8421,Bregmacère de l'océan Indien,"['brackish', 'salt']",[]
Bregmaceros moseri,70556,Gyre codlet,['salt'],[]
Bregmaceros nectabanus,8422,Australian codlet,['salt'],[]
Bregmaceros neonectabanus,56834,Kurohara-saiuo,['salt'],[]
Bregmaceros pescadorus,54159,澎湖犀鱈,['salt'],[]
Bregmaceros pseudolanceolatus,63524,False lance codlet,['salt'],[]
Bregmaceros rarisquamosus,24904,Bigeye codlet,['salt'],[]
Bregmaceros retrodorsalis,70364,Back-fin codlet,['salt'],[]
