ScientificName,SpecCode,CommonName,Environments,Subspecies
Brycon alburnus,14158,Dama montanea,['fresh'],[]
Brycon amazonicus,52992,Bocón,['fresh'],[]
Brycon argenteus,28251,Sábalo pipon,['fresh'],[]
Brycon atrocaudatus,14157,Cascafe,['fresh'],[]
Brycon behreae,53011,Machaca,['fresh'],[]
Brycon bicolor,51833,Bocón,['fresh'],[]
Brycon cephalus,25516,Jatuarana,['fresh'],[]
Brycon chagrensis,52995,Sábalo pipon,['fresh'],[]
Brycon coquenani,51834,Aruma,['fresh'],[]
Brycon costaricensis,67329,Machaca,['fresh'],[]
Brycon coxeyi,53012,Sábalo,['fresh'],[]
Brycon dentex,51117,Dama,['fresh'],[]
Brycon devillei,48570,Piabanha,['fresh'],[]
Brycon falcatus,14171,Jatuarana miri,['fresh'],[]
Brycon ferox,6182,Piabanha,['fresh'],[]
Brycon fowleri,53417,Sabaleta,['fresh'],[]
Brycon gouldingi,62240,Matrinchã,['fresh'],[]
Brycon guatemalensis,8699,Macabi tetra,['fresh'],[]
Brycon henni,12342,Sabaleta,['fresh'],[]
Brycon hilarii,52994,Camapuã,['fresh'],[]
Brycon insignis,58081,Piabanha,['fresh'],[]
Brycon labiatus,53002,,['fresh'],[]
Brycon medemi,53041,,['fresh'],[]
Brycon meeki,53009,,['fresh'],[]
Brycon melanopterus,27668,Jatuarana,['fresh'],[]
Brycon moorei,5453,Dorada,['fresh'],[]
Brycon nattereri,48572,Matrinchã,['fresh'],[]
Brycon obscurus,53010,Sábalo pipon,['fresh'],[]
Brycon oligolepis,53005,Sábalo,['fresh'],[]
Brycon opalinus,52991,Piabanha,['fresh'],[]
Brycon orbignyanus,48557,Bracanjuva,['fresh'],[]
Brycon orthotaenia,52998,Matrinchã,['fresh'],[]
Brycon pesu,12373,Abongoni,['fresh'],[]
Brycon petrosus,53006,Sábalo pipon,['fresh'],[]
Brycon polylepis,51836,Diénton,['fresh'],[]
Brycon posadae,53013,波萨石脂鲤,['fresh'],[]
Brycon rubricauda,53001,Paloma,['fresh'],[]
Brycon sinuensis,58082,Charúa,['fresh'],[]
Brycon stolzmanni,51095,Sábalo,['fresh'],[]
Brycon striatulus,52996,Sábalo,['fresh'],[]
Brycon unicolor,51837,,['fresh'],[]
Brycon vermelha,58083,Vermelha,['fresh'],[]
Brycon whitei,51838,Bocón,['fresh'],[]
