ScientificName,SpecCode,CommonName,Environments,Subspecies
Oxyeleotris altipinna,47691,高鰭尖塘鱧,['fresh'],[]
Oxyeleotris aruensis,10686,Aru gudgeon,['fresh'],[]
Oxyeleotris caeca,47647,Ihaaribi,['fresh'],[]
Oxyeleotris colasi,67137,,['fresh'],[]
Oxyeleotris fimbriata,26421,Fimbriate gudgeon,['fresh'],[]
Oxyeleotris herwerdenii,26422,Blackbanded gauvina,['fresh'],[]
Oxyeleotris heterodon,13026,Bigmaus,['fresh'],[]
Oxyeleotris lineolata,22769,Black banded guavina,['fresh'],[]
Oxyeleotris marmorata,5376,Bakut,"['fresh', 'brackish']",[]
Oxyeleotris mertoni,70462,,"['fresh', 'brackish', 'salt']",[]
Oxyeleotris nullipora,22770,Dwarf gudgeon,['fresh'],[]
Oxyeleotris paucipora,26431,Fewpored gudgeon,['fresh'],[]
Oxyeleotris selheimi,61654,Black banded gudgeon,['fresh'],[]
Oxyeleotris siamensis,59246,,['salt'],[]
Oxyeleotris stagnicola,65607,Swamp gudgeon,['fresh'],[]
Oxyeleotris urophthalmoides,25056,Laikkutorkkuja,"['fresh', 'brackish']",[]
Oxyeleotris urophthalmus,25057,Belunguran hitam,"['fresh', 'brackish']",[]
Oxyeleotris wisselensis,10723,Paniai gudgeon,['fresh'],[]
