ScientificName,SpecCode,CommonName,Environments,Subspecies
Callionymus aagilis,57491,Dragonnet,['salt'],[]
Callionymus acutirostris,59275,Pointed dragonet,['salt'],[]
Callionymus afilum,60537,Northern Australian longtail dragonet,['salt'],[]
Callionymus africanus,59615,African deepwater dragonet,['salt'],[]
Callionymus alisae,70532,Alis dragonet,['salt'],[]
Callionymus altipinnis,59276,Highfin deepwater dragonet,['salt'],[]
Callionymus amboina,59289,Ambon darter dragonet,['salt'],[]
Callionymus annulatus,60089,Big-head dragonet,['salt'],[]
Callionymus australis,58163,Australian stinkfish,['salt'],[]
Callionymus bairdi,3824,Baird's dragonet,['salt'],[]
Callionymus belcheri,4697,Belcher's dragonet,['salt'],[]
Callionymus beniteguri,13070,Black caudal dragonet,['salt'],[]
Callionymus bentuviai,56496,Ben-Tuvia's deepwater dragonet,['salt'],[]
Callionymus bifilum,60538,Northwestern Australian deepwater dragonet,['salt'],[]
Callionymus bleekeri,60551,Bleeker's deepwater dragonet,['salt'],[]
Callionymus boucheti,68506,Bouchet's dragonet,['salt'],[]
Callionymus brevianalis,50478,Papuan dragonet,['salt'],[]
Callionymus caeruleonotatus,58160,Bluespotted dragonet,['salt'],[]
Callionymus carebares,46381,Indian deepwater dragonet,['salt'],[]
Callionymus colini,60090,Colin's dragonet,['salt'],[]
Callionymus comptus,59477,Hawaiian ruddertail dragonet,['salt'],[]
Callionymus cooperi,25696,Cooper's dragonet,['salt'],[]
Callionymus curvicornis,55180,Cá Đàn lia đuôi lõm,"['fresh', 'brackish', 'salt']",[]
Callionymus curvispinis,50530,Chibi-numeri,['salt'],[]
Callionymus decoratus,58161,Decorated dragonet,['salt'],[]
Callionymus delicatulus,17467,Delicate dragonet,['salt'],[]
Callionymus doryssus,59457,Chal-yang-tae,['salt'],[]
Callionymus draconis,25834,Barb dragonet,['salt'],[]
Callionymus enneactis,17468,Common dragonet,"['brackish', 'salt']",[]
Callionymus erythraeus,46382,Smallhead dragonet,['salt'],[]
Callionymus fasciatus,25972,Banded dragonet,['salt'],[]
Callionymus filamentosus,225,Bebaji,['salt'],[]
Callionymus flavus,56497,Yellow ruddertail dragonet,['salt'],[]
Callionymus fluviatilis,25227,Cá đàn lia sông,"['brackish', 'salt']",[]
Callionymus formosanus,24197,Kujaku-soko-numeri,['salt'],[]
Callionymus futuna,60549,Futuna deepwater dragonet,['salt'],[]
Callionymus gardineri,1318,Indian Ocean longtail dragonet,['salt'],[]
Callionymus goodladi,10964,Goodlad's dragonet,['salt'],[]
Callionymus grossi,10965,Gross' dragonet,['salt'],[]
Callionymus guentheri,59277,Günther's deepwater dragonet,['salt'],[]
Callionymus hainanensis,59278,Cá chai,['salt'],[]
Callionymus hildae,59279,Hilde's darter dragonet,['salt'],[]
Callionymus hindsii,46386,Cá Đàn lia hin si,['salt'],[]
Callionymus ikedai,50460,Narita-itohiki-numeri,"['brackish', 'salt']",[]
Callionymus io,56778,Andaman Sea spiny dragonet,['salt'],[]
Callionymus izuensis,50535,Izu dragonet,['salt'],[]
Callionymus japonicus,10362,Bebaji,['salt'],[]
Callionymus kailolae,60539,Kailola's deepwater dragonet,['salt'],[]
Callionymus kanakorum,64200,,['salt'],[]
Callionymus keeleyi,27544,Keeley's dragonet,['salt'],[]
Callionymus koreanus,47400,Ch'am-tot-yangt'ae,['salt'],[]
Callionymus kotthausi,59290,Kotthaus' deepwater dragonet,['salt'],[]
Callionymus leucobranchialis,59280,Whitegill dragonet,['salt'],[]
Callionymus leucopoecilus,50527,Hwenjom-yangtae,['salt'],[]
