ScientificName,SpecCode,CommonName,Environments,Subspecies
Synchiropus altivelis,10608,Bebaji,"['brackish', 'salt']",[]
Synchiropus atrilabiatus,50098,Antler dragonet,['salt'],[]
Synchiropus australis,60087,Queensland bigeye dragonet,['salt'],[]
Synchiropus bartelsi,27547,Bartel's dragonet,['salt'],[]
Synchiropus circularis,17472,Circled dragonet,['salt'],[]
Synchiropus claudiae,60557,Claudia's dragonet,['salt'],[]
Synchiropus corallinus,50546,Coral dragonet,['salt'],[]
Synchiropus delandi,59287,Deland's dragonet,['salt'],[]
Synchiropus goodenbeani,54437,Goode and Bean's dragonet,['salt'],[]
Synchiropus grandoculis,60541,Western Australian bigeye dragonet,['salt'],[]
Synchiropus grinnelli,59300,Grinnell's dragonet,['salt'],[]
Synchiropus hawaiiensis,60542,Hawaiian bigeye dragonet,['salt'],[]
Synchiropus ijimai,24202,Ijima's dragonet,['salt'],[]
Synchiropus kanmuensis,59601,Kanmu dragonet,['salt'],[]
Synchiropus kinmeiensis,59478,Kinmei dragonet,['salt'],[]
Synchiropus kiyoae,24212,Hime-teguri,['salt'],[]
Synchiropus laddi,17475,Ladd's dragonet,['salt'],[]
Synchiropus lateralis,59288,Chinese ornate dragonet,['salt'],[]
Synchiropus lineolatus,58300,Indian ornate dragonet,['salt'],[]
Synchiropus marmoratus,8001,Marbled dragonet,"['brackish', 'salt']",[]
Synchiropus minutulus,25700,Minute flagfin dragonet,['salt'],[]
Synchiropus monacanthus,10763,Deep-water dragonet,['salt'],[]
Synchiropus morrisoni,12643,Morrison's dragonet,['salt'],[]
Synchiropus moyeri,27030,Miyake-teguri,['salt'],[]
Synchiropus novaecaledoniae,60085,West Jumeau bigeye dragonet,['salt'],[]
Synchiropus novaehiberniensis,69808,New Ireland dragonet,['salt'],[]
Synchiropus ocellatus,7981,Bunog,['salt'],[]
Synchiropus orientalis,61609,,['salt'],[]
Synchiropus orstom,60543,Orstom dragonet,['salt'],[]
Synchiropus phaeton,1703,Diablotin,['salt'],[]
Synchiropus picturatus,12740,Green spot mandarin,['salt'],[]
Synchiropus postulus,17031,Dværgfløjfisk,['salt'],[]
Synchiropus rameus,8132,Australian sailfin dragonet,['salt'],[]
Synchiropus randalli,55261,Randall's dragonet,['salt'],[]
Synchiropus richeri,60545,Richer's dragonet,['salt'],[]
Synchiropus rosulentus,59479,Hawaiian flagfin dragonet,['salt'],[]
Synchiropus rubrovinctus,59299,Akaobi-koteguri,['salt'],[]
Synchiropus sechellensis,25699,Seychelles dragonet,['salt'],[]
Synchiropus signipinnis,60546,Chesterfield bigeye dragonet,['salt'],[]
Synchiropus splendidus,12644,Bebaji,['salt'],[]
Synchiropus springeri,56779,Springer's dragonet,['salt'],[]
Synchiropus stellatus,7802,Dragoncello,['salt'],[]
Synchiropus sycorax,68313,Ruby dragonet,['salt'],[]
Synchiropus tudorjonesi,66423,Redback dragonet,['salt'],[]
Synchiropus valdiviae,60561,Valdivia dragonet,['salt'],[]
Synchiropus zamboangana,59298,Zamboangan dragonet,['salt'],[]
