ScientificName,SpecCode,CommonName,Environments,Subspecies
Caranx bartholomaei,1913,Atún,['salt'],[]
Caranx bucculentus,1896,Alaala,"['brackish', 'salt']",[]
Caranx caballus,1900,Bonito,"['brackish', 'salt']",[]
Caranx caninus,1901,Aurel,"['brackish', 'salt']",[]
Caranx crysos,1933,Akole,"['brackish', 'salt']",[]
Caranx fischeri,63514,Carangue de Fischer,"['fresh', 'brackish', 'salt']",[]
Caranx heberi,1898,Atanagul parava,"['brackish', 'salt']",[]
Caranx hippos,71,Agbre,"['brackish', 'salt']",[]
Caranx ignobilis,1895,Akao,"['brackish', 'salt']",[]
Caranx latus,1935,Aracimbora,"['fresh', 'brackish', 'salt']",[]
Caranx lugubris,1936,Anakbong,['salt'],[]
Caranx melampygus,1906,Adlo,"['brackish', 'salt']",[]
Caranx papuensis,6360,Autea,"['brackish', 'salt']",[]
Caranx rhonchus,1899,Africanski karankse,"['brackish', 'salt']",[]
Caranx ruber,1918,Bar jack,['salt'],[]
Caranx senegallus,1897,African jack,"['brackish', 'salt']",[]
Caranx sexfasciatus,1917,Adlo,"['fresh', 'brackish', 'salt']",[]
Caranx tille,1928,Adlo,['salt'],[]
Caranx vinctus,1919,Barred jack,['salt'],[]
