ScientificName,SpecCode,CommonName,Environments,Subspecies
Trachurus capensis,5382,Bastardmakrele,['salt'],[]
Trachurus declivis,372,Carapau-verde,"['brackish', 'salt']",[]
Trachurus delagoa,1981,African maasbanker,['salt'],[]
Trachurus indicus,1982,Arabian scad,['salt'],[]
Trachurus japonicus,366,Atlantic horse mackerel,['salt'],[]
Trachurus lathami,369,Carapau,['salt'],[]
Trachurus longimanus,1980,Crozet scad,['salt'],[]
Trachurus mediterraneus,1278,Aosifer,"['brackish', 'salt']",[]
Trachurus murphyi,367,Carapau-chileno,['salt'],[]
Trachurus novaezelandiae,1979,Bung,"['brackish', 'salt']",[]
Trachurus picturatus,1279,Blå hestemakrel,['salt'],[]
Trachurus symmetricus,368,Carapau-do-Pacífico,['salt'],[]
Trachurus trachurus,1365,Aji,['salt'],[]
Trachurus trecae,371,Afriški šur,"['brackish', 'salt']",[]
