ScientificName,SpecCode,CommonName,Environments,Subspecies
Echiodon anchipterus,62014,Closefin pearlfish,['salt'],[]
Echiodon atopus,62190,,['salt'],[]
Echiodon coheni,52417,科氏底潛魚,['salt'],[]
Echiodon cryomargarites,7141,Aurin ponctué,['salt'],[]
Echiodon dawsoni,52423,Chain pearlfish,['salt'],[]
Echiodon dentatus,46343,Eingeweidefisch,['salt'],[]
Echiodon drummondii,65,Almindelig snyltefisk,['salt'],[]
Echiodon exsilium,52421,Nocturnal pearlfish,['salt'],[]
Echiodon neotes,52442,新底潛魚,['salt'],[]
Echiodon pegasus,52445,海娥底潛魚,['salt'],[]
Echiodon prionodon,67414,,['salt'],[]
Echiodon pukaki,52413,普氏底潛魚,['salt'],[]
Echiodon rendahli,24981,Messmate fish,['salt'],[]
