ScientificName,SpecCode,CommonName,Environments,Subspecies
Micropterus cahabae,67133,Cahaba bass,['fresh'],[]
Micropterus cataractae,58432,Shoal bass,['fresh'],[]
Micropterus chattahoochae,67135,Chattahoochee bass,['fresh'],[]
Micropterus coosae,3381,Lobina ojicolorada,['fresh'],[]
Micropterus dolomieu,3382,Achiga-boca-pequena,['fresh'],[]
Micropterus floridanus,62256,,['fresh'],[]
Micropterus henshalli,66684,Alabama bass,['fresh'],[]
Micropterus notius,3383,Bass,['fresh'],[]
Micropterus punctulatus,3384,Bass,['fresh'],[]
Micropterus salmoides,3385,Achiga,['fresh'],[]
Micropterus tallapoosae,67134,Tallapoosa bass,['fresh'],[]
Micropterus treculii,3386,Bass,['fresh'],[]
Micropterus warriorensis,67136,Warrior bass,['fresh'],[]
