ScientificName,SpecCode,CommonName,Environments,Subspecies
Centrophorus atromarginatus,53922,Blackfin gulper shark,['salt'],[]
Centrophorus granulosus,648,Agathitis,['salt'],[]
Centrophorus harrissoni,649,Dogfish endeavor,['salt'],[]
Centrophorus isodon,54130,Bezkýlovec stejnozubý,['salt'],[]
Centrophorus lesliei,68495,African gulper shark,['salt'],[]
Centrophorus longipinnis,68496,Longfin gulper shark,['salt'],[]
Centrophorus lusitanicus,650,Barroso,['salt'],[]
Centrophorus machiquensis,69596,,['salt'],[]
Centrophorus moluccensis,651,Arrowspine dogfish,['salt'],[]
Centrophorus seychellorum,63812,Seišelli astelhai,['salt'],[]
Centrophorus squamosus,653,Blattschuppen-Schlingerhai,['salt'],[]
Centrophorus tessellatus,654,Genrokuzame,['salt'],[]
Centrophorus uyato,655,Agathitis,['salt'],[]
Centrophorus westraliensis,64110,Lääneaustraalia astelhai,['salt'],[]
Centrophorus zeehaani,64111,Lõuna-astelhai,['salt'],[]
