ScientificName,SpecCode,CommonName,Environments,Subspecies
Centropomus armatus,10975,Armed snook,"['brackish', 'salt']",[]
Centropomus ensiferus,1013,Binnensnoek,"['fresh', 'brackish', 'salt']",[]
Centropomus irae,69394,Camorim Irá,"['fresh', 'brackish', 'salt']",[]
Centropomus medius,6429,Blackfin snook,"['fresh', 'brackish', 'salt']",[]
Centropomus mexicanus,7531,Constantino snook,"['brackish', 'salt']",[]
Centropomus nigrescens,6428,Black robalo,"['fresh', 'brackish', 'salt']",[]
Centropomus parallelus,1014,Camorim-corcunda,"['fresh', 'brackish', 'salt']",[]
Centropomus pectinatus,1015,Baileta,"['fresh', 'brackish', 'salt']",[]
Centropomus poeyi,1016,Crossie mexicaine,"['fresh', 'brackish', 'salt']",[]
Centropomus robalito,10978,Conguito blanco,"['brackish', 'salt']",[]
Centropomus undecimalis,345,Almindelig robalo,"['fresh', 'brackish', 'salt']",[]
Centropomus unionensis,10981,Crossie serran,"['brackish', 'salt']",[]
Centropomus viridis,6430,Crossie argenté,['salt'],[]
