ScientificName,SpecCode,CommonName,Environments,Subspecies
Cetopsis amphiloxa,48619,Ciego,['fresh'],[]
Cetopsis arcana,62500,,['fresh'],[]
Cetopsis aspis,69974,,['fresh'],[]
Cetopsis baudoensis,57245,,['fresh'],[]
Cetopsis caiapo,62501,,['fresh'],[]
Cetopsis candiru,48620,Candiru,['fresh'],[]
Cetopsis coecutiens,48618,Bagre ciego,['fresh'],[]
Cetopsis fimbriata,62502,,['fresh'],[]
Cetopsis gobioides,48612,bagre,['fresh'],[]
Cetopsis jurubidae,57246,,['fresh'],[]
Cetopsis montana,62503,,['fresh'],[]
Cetopsis motatanensis,49399,Bagre ciego,['fresh'],[]
Cetopsis oliveirai,53660,Sokkovalasmonni,['fresh'],[]
Cetopsis orinoco,53656,Bagre ciego,['fresh'],[]
Cetopsis othonops,48626,Babosa,['fresh'],[]
Cetopsis parma,58365,,['fresh'],[]
Cetopsis pearsoni,62504,,['fresh'],[]
Cetopsis plumbea,48628,Canero,['fresh'],[]
Cetopsis sandrae,62505,,['fresh'],[]
Cetopsis sarcodes,62506,,['fresh'],[]
Cetopsis starnesi,62507,,['fresh'],[]
Cetopsis umbrosa,62508,,['fresh'],[]
