ScientificName,SpecCode,CommonName,Environments,Subspecies
Acanthemblemaria aceroi,70292,Blue-spotted barnacle blenny,['salt'],[]
Acanthemblemaria aspera,3708,Roughhead blenny,['salt'],[]
Acanthemblemaria atrata,60573,Cocos barnacle blenny,['salt'],[]
Acanthemblemaria balanorum,46703,Blenia,['salt'],[]
Acanthemblemaria betinensis,47263,Speckled blenny,['salt'],[]
Acanthemblemaria castroi,25510,Galapagos barnacle blenny,['salt'],[]
Acanthemblemaria chaplini,3709,Chaplini oganäsapea,['salt'],[]
Acanthemblemaria crockeri,46704,Blenia,['salt'],[]
Acanthemblemaria exilispinus,46709,Bluntspine blenny,['salt'],[]
Acanthemblemaria greenfieldi,47265,False papillose blenny,['salt'],[]
Acanthemblemaria hancocki,46714,Hancock's blenny,['salt'],[]
Acanthemblemaria harpeza,60576,,['salt'],[]
Acanthemblemaria hastingsi,65600,Cortez barnacle blenny,['salt'],[]
Acanthemblemaria johnsoni,55035,Black barnacle blenny,['salt'],[]
Acanthemblemaria macrospilus,46717,Barnacle blenny,['salt'],[]
Acanthemblemaria mangognatha,60574,Revillagigedo barnacle,['salt'],[]
Acanthemblemaria maria,16485,Blénido espinoso,['salt'],[]
Acanthemblemaria medusa,27905,Blénido medusa,['salt'],[]
Acanthemblemaria paula,54806,Dwarf spinyhead blenny,['salt'],[]
Acanthemblemaria rivasi,47268,Spotjaw blenny,['salt'],[]
Acanthemblemaria spinosa,16486,Blénido espinoso,['salt'],[]
Acanthemblemaria stephensi,46725,Malpelo barnacle blenny,['salt'],[]
