ScientificName,SpecCode,CommonName,Environments,Subspecies
Chaenopsis alepidota,3711,Blenia,['salt'],[]
Chaenopsis celeste,70120,Celeste's pikeblenny,['salt'],[]
Chaenopsis coheni,54347,Cortez pikeblenny,['salt'],[]
Chaenopsis deltarrhis,46727,Delta pikeblenny,['salt'],[]
Chaenopsis limbaughi,3712,Blénido anguila,['salt'],[]
Chaenopsis megalops,60575,,['salt'],[]
Chaenopsis ocellata,3713,Blåstrubet geddeslimfisk,['salt'],[]
Chaenopsis resh,27909,Blénido anguila,['salt'],[]
Chaenopsis roseola,54820,Flecked pikeblenny,['salt'],[]
Chaenopsis schmitti,25532,Gulmundet geddeslimfisk,['salt'],[]
Chaenopsis stephensi,27910,,['salt'],[]
