ScientificName,SpecCode,CommonName,Environments,Subspecies
Chaetodon adiergastos,6515,Alibangbang,['salt'],[]
Chaetodon andamanensis,58164,Andaman butterflyfish,['salt'],[]
Chaetodon argentatus,6665,Asian butterflyfish,['salt'],[]
Chaetodon assarius,6516,Assarius butterflyfish,['salt'],[]
Chaetodon aureofasciatus,6513,Bagang,"['brackish', 'salt']",[]
Chaetodon auriga,5557,Ababang amariyu,['salt'],[]
Chaetodon auripes,6648,Bagang,['salt'],[]
Chaetodon austriacus,6514,Blacktail butterflyfish,['salt'],[]
Chaetodon baronessa,5558,Alibangbang,['salt'],[]
Chaetodon bennetti,5559,Alibangbang,['salt'],[]
Chaetodon blackburnii,8015,Blackburn's butterflyfish,['salt'],[]
Chaetodon burgessi,5560,Alibang-bang,['salt'],[]
Chaetodon capistratus,3602,Borboleta,['salt'],[]
Chaetodon citrinellus,5561,Alibangbang,['salt'],[]
Chaetodon collare,7803,Alibangbang,['salt'],[]
Chaetodon daedalma,12646,Smedejernsfanefisk,['salt'],[]
Chaetodon declivis,12259,Marquesan butterflyfish,['salt'],[]
Chaetodon decussatus,10352,Alibangbang,['salt'],[]
Chaetodon dialeucos,25436,Oman butterflyfish,['salt'],[]
Chaetodon dolosus,8916,African butterflyfish,['salt'],[]
Chaetodon ephippium,5562,Alibangbang,['salt'],[]
Chaetodon falcula,8014,Bagang,['salt'],[]
Chaetodon fasciatus,12274,Diagonal butterflyfish,['salt'],[]
Chaetodon flavirostris,6527,Black butterflyfish,"['brackish', 'salt']",[]
Chaetodon flavocoronatus,5563,Gulkronet fanefisk,['salt'],[]
Chaetodon fremblii,7808,Blåstribet fanefisk,['salt'],[]
Chaetodon gardineri,12534,Gardiner's butterflyfish,['salt'],[]
Chaetodon guentheri,6528,Bagang,['salt'],[]
Chaetodon guttatissimus,7791,Chétodon moucheté,['salt'],[]
Chaetodon hoefleri,5046,Borboleta,['salt'],[]
Chaetodon humeralis,8278,Mariposa,['salt'],[]
Chaetodon interruptus,61607,Indian Ocean teardrop butterflyfish,['salt'],[]
Chaetodon kleinii,5446,Alanaasi bibee,['salt'],[]
Chaetodon larvatus,12287,Blue chevron butterflyfish,['salt'],[]
Chaetodon leucopleura,8083,Misht gardineri,['salt'],[]
Chaetodon lineolatus,5564,Alibangbang,['salt'],[]
Chaetodon litus,12538,Easter Island butterflyfish,['salt'],[]
Chaetodon lunula,5565,Ababang lonnat,['salt'],[]
Chaetodon lunulatus,14300,Alibangbang,['salt'],[]
Chaetodon madagaskariensis,7793,Chétodon à damiers,['salt'],[]
Chaetodon marleyi,8013,Dobbeltbåndet fanefisk,"['brackish', 'salt']",[]
Chaetodon melannotus,5566,Akebono-chôchô-uo,['salt'],[]
Chaetodon melapterus,12533,Arabisk fanefisk,['salt'],[]
Chaetodon mertensii,5567,Alibangbang,['salt'],[]
Chaetodon mesoleucos,25428,Alibangbang,['salt'],[]
Chaetodon meyeri,5568,Alibangbang,['salt'],[]
Chaetodon miliaris,5136,Hirsefanefisk,['salt'],[]
Chaetodon mitratus,8927,Chétodon à mitre,['salt'],[]
Chaetodon multicinctus,7810,Kikakapu,['salt'],[]
