ScientificName,SpecCode,CommonName,Environments,Subspecies
Channa amphibeus,25273,Borna snakehead,['fresh'],[]
Channa andrao,67146,Redspotted snakehead,['fresh'],[]
Channa ara,69839,Sri Lanka giant snakehead,['fresh'],[]
Channa argus,4799, דג צפוני אסיאתי,['fresh'],[]
Channa aristonei,70615,,['fresh'],[]
Channa asiatica,7756,Asiatischer Schlangenkopf,['fresh'],[]
Channa aurantimaculata,57932,Goldspotted snakehead,['fresh'],[]
Channa aurantipectoralis,68311,Orangefinned snakehead,['fresh'],[]
Channa aurolineata,70562,,['fresh'],[]
Channa bankanensis,25144,Bangka snakehead,['fresh'],[]
Channa baramensis,61686,Baram snakehead,['fresh'],[]
Channa barca,10133,Assam-slangehovedfisk,['fresh'],[]
Channa bleheri,59754,Blåfinnet slangehovedfisk,['fresh'],[]
Channa brunnea,69341,Brown bleheri,['salt'],[]
Channa burmanica,61418,Putao snakehead,['fresh'],[]
Channa cyanospilos,25145,Blåplettet slangehovedfisk,['fresh'],[]
Channa diplogramma,55109,Malabar snakehead,['fresh'],[]
Channa gachua,50504,Asiatischer kleiner schlangenkopf,['fresh'],[]
Channa harcourtbutleri,59914,Andaman emerald snakehead,['fresh'],[]
Channa hoaluensis,66678,Vietnames snakehead,['fresh'],[]
Channa kelaartii,69876,Dwarf snakehead,['fresh'],[]
Channa longistomata,66680,,['fresh'],[]
Channa lucius,16137,Cá day,['fresh'],[]
Channa maculata,8701,Blotched snakehead,['fresh'],[]
Channa marulioides,25148,Malaysisk slangehovedfisk,['fresh'],[]
Channa marulius,5144,Ara,['fresh'],[]
Channa melanoptera,25149,Blackfinned snakehead,['fresh'],[]
Channa melanostigma,66321,Lohit snakehead,['fresh'],[]
Channa melasoma,5192,Black snakehead,['fresh'],[]
Channa micropeltes,344,Anak roman,['fresh'],[]
Channa ninhbinhensis,66679,Orange seam snakehead,['fresh'],[]
Channa nox,59753,Dark snakehead,['fresh'],[]
Channa orientalis,5143,Asiatic snakehead,"['fresh', 'brackish']",[]
Channa ornatipinnis,64104,Ornate snakehead,['fresh'],[]
Channa panaw,55607,Blackspotted snakehead,['fresh'],[]
Channa pardalis,68312,Channa sp. Meghalaya leopard,['fresh'],[]
Channa pleurophthalma,14699,Kerandang,['fresh'],[]
Channa pomanensis,68525,Poma snakehead,['fresh'],[]
Channa pseudomarulius,68643,Orangeplettet slangehovedfisk,['fresh'],[]
Channa pulchra,64105,Colored snakehead,['fresh'],[]
Channa punctata,5147,Araccan,"['fresh', 'brackish']",[]
Channa quinquefasciata,70614,,"['fresh', 'brackish']",[]
Channa rara,70455,,['fresh'],[]
Channa shingon,68513,Humpbacked snakehead,['fresh'],[]
Channa stewartii,13591,Assamese snakehead,['fresh'],[]
Channa striata,343,Aluan,"['fresh', 'brackish']",[]
