ScientificName,SpecCode,CommonName,Environments,Subspecies
Aphyocharax agassizii,52921,,['fresh'],[]
Aphyocharax alburnus,12337,Bloodfin tetra,['fresh'],[]
Aphyocharax anisitsi,10618,Blood fins tetra,['fresh'],[]
Aphyocharax colifax,51818,Aletas de sangre,['fresh'],[]
Aphyocharax dentatus,27667,Douradinho,['fresh'],[]
Aphyocharax erythrurus,12338,Flame tail tetra,['fresh'],[]
Aphyocharax gracilis,57991,,['fresh'],[]
Aphyocharax nattereri,51080,Augenfleck- oder Schwanzflecksalmler,['fresh'],[]
Aphyocharax pusillus,51081,Mojarita,['fresh'],[]
Aphyocharax rathbuni,12340,Rathbun's bloodfin,['fresh'],[]
Aphyocharax yekwanae,61400,,['fresh'],[]
